**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 6

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ca, 33.55284, 29.38792, 33.42547, 42.67224, 45.75078, 48.92627, 40.55030,  7.01983,  0.17311,  0.20922
Ti, 26.33139, 14.05227, 19.04554, 32.79675, 34.32086, 38.31101, 29.23135,  8.55618,  0.29271,  0.32494
V, 43.17182, 32.64222, 37.17725, 54.10136, 55.91535, 62.00538, 49.64874, 10.64761,  0.21446,  0.24663
Mn, 41.12517, 28.66077, 32.54654, 51.63492, 53.58538, 60.02896, 46.91694, 11.61483,  0.24756,  0.28243
Fe, 38.63144, 27.94715, 31.33998, 47.10340, 48.89435, 53.95796, 43.25160,  9.55043,  0.22081,  0.24722
Zn,  9.36519,  8.19145,  8.87826,  9.46551, 14.37486, 24.57054, 11.41094,  4.10124,  0.35941,  0.43792
Br,  6.19191,  2.27137,  4.26504,  6.18810,  7.24994,  7.46514,  5.91465,  1.58635,  0.26821,  0.25620
Pb, 22.90386, 20.45738, 22.86479, 27.40840, 28.03548, 29.76582, 25.99181,  3.29446,  0.12675,  0.14384

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  6.89797,  5.54362,  5.65798,  6.38410,  6.56342,  8.70265,  6.34189,  0.75060,  0.11836,  0.10881
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.19504,  0.00000,  0.00000,  0.42097,  1.19577,  8.04640,  1.11348,  1.85859,  1.66918,  9.52932
Al,  1.08131,  0.00000,  0.35715,  0.79831,  1.39946,  4.16774,  1.18106,  1.23773,  1.04798,  1.14465
Si,  0.00000,  0.00000,  0.00000,  0.00000,  0.10153,  1.71389,  0.31775,  0.62245,  1.95891,  0.00000
P, 17.89360,  0.00000, 15.53299, 16.75983, 17.36872, 25.76921, 16.40837,  5.61945,  0.34247,  0.31405
S, 70.98556, 63.96079, 69.30492, 70.66628, 71.06877, 77.10663, 70.21977,  3.34104,  0.04758,  0.04707
Cl,  6.30922,  1.41811,  1.85433,  4.63786,  5.78750,  7.80413,  4.09503,  2.17016,  0.52995,  0.34397
K, 35.44291, 33.07138, 34.18089, 36.31417, 37.24062, 40.68046, 36.26169,  2.09001,  0.05764,  0.05897
Ca,  5.86528,  0.49653,  0.63490,  3.96876,  4.72112,  7.89366,  3.41710,  2.38667,  0.69845,  0.40692
Ti,  1.98570,  0.00000,  0.00000,  1.23606,  2.60847,  3.47883,  1.32788,  1.27961,  0.96365,  0.64442
V,  3.62932,  2.92274,  3.25232,  3.54869,  3.61990,  5.93133,  3.55752,  0.60977,  0.17140,  0.16801
Mn,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  3.59178,  0.17959,  0.80315,  4.47214,  0.00000
Fe,  1.12059,  0.00000,  0.11587,  1.17520,  2.20346,  3.14371,  1.29454,  1.07533,  0.83067,  0.95961
Zn, 34.25940, 19.99641, 27.04462, 31.43762, 34.49900, 36.31279, 30.26675,  4.41250,  0.14579,  0.12880
Br, 58.08424, 52.91932, 56.21444, 57.79204, 58.45015, 61.71258, 57.56458,  2.55069,  0.04431,  0.04391
Pb, 33.58226, 29.71789, 31.63186, 32.41935, 32.96562, 33.58226, 32.20397,  1.02477,  0.03182,  0.03052

Factor 6,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  3.35539,  3.15587,  3.54229, 13.48424, 14.35401, 16.58643,  9.89935,  5.42862,  0.54838,  1.61788
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  3.20606,  0.49415,  1.12104,  2.26864,  0.00000
Al, 23.25493, 16.48149, 20.18347, 21.79500, 23.19431, 28.65843, 21.58357,  2.77699,  0.12866,  0.11941
Si, 13.03574, 11.96536, 13.03640, 13.39304, 14.31591, 16.31030, 13.69213,  1.15319,  0.08422,  0.08846
P, 65.30741, 38.97625, 45.78012, 55.04740, 65.18213, 76.19211, 55.42183, 10.86512,  0.19604,  0.16637
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Cl,  8.14472,  8.01012,  8.15639, 19.55017, 20.97173, 23.20193, 15.78104,  6.05032,  0.38339,  0.74285
K,  5.84144,  0.00000,  0.00000,  1.93722,  6.08726,  6.50374,  2.92480,  2.98027,  1.01896,  0.51019
Ca,  0.00000,  0.00000,  0.00000, 22.35355, 27.12123, 33.20800, 16.32438, 13.24600,  0.81142,  0.00000
Ti, 15.58058, 15.54311, 15.58834, 21.03803, 22.26301, 24.10649, 19.73604,  3.21964,  0.16313,  0.20664
V,  2.87664,  0.00000,  3.15912, 10.86586, 13.01408, 14.60323,  8.58615,  5.15290,  0.60014,  1.79129
Mn,  2.02367,  0.00000,  2.10846,  9.90903, 10.59130, 12.03366,  7.04786,  4.48744,  0.63671,  2.21748
Fe, 14.83388, 12.77471, 14.89607, 15.25730, 17.20234, 21.83729, 16.12789,  2.33956,  0.14506,  0.15772
