**** Analysis Summary ****

Time of run: ,07/07/15 17:06
Concentration file: ,E:\pmf\JFcH.csv
Uncertainty file: ,E:\pmf\JFcHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0,  2.45000, 25.79000, 34.16000, 61.17500,3318.47000, 100.00 %, 100.00 %
11                    3,0.02544,0.00978,0.00084,0.02527,0.08888,0.08396,10.83854,0.03293,7.56394,0.94399,0.02156,0.00818,0.00391,0.02729,0.05369,0.02833,0.01515,0.29137,0.86054,0.00219,0.00318,0.00051,0.08305,3.21019,
11                    4,0.02869,0.01419,0.00130,0.02845,0.12217,0.08881,9.75347,0.07410,7.90997,1.15841,0.02610,0.00902,0.00441,0.03162,0.06961,0.03157,0.01636,0.33074,0.91739,0.00227,0.00398,0.00085,0.09128,4.12563,
11                    5,0.02156,0.01806,0.00144,0.02722,0.09900,0.09542,7.51732,0.07756,5.71007,0.70470,0.02234,0.01133,0.00691,0.02565,0.04781,0.04814,0.02563,0.47807,1.04255,0.00291,0.00469,0.00088,0.13385,4.46208,
11                    6,0.01948,0.00964,0.00110,0.02407,0.10562,0.06336,6.49180,0.07259,5.36915,0.79627,0.02189,0.00698,0.00371,0.02271,0.05289,0.02663,0.01366,0.26678,0.70981,0.00169,0.00315,0.00071,0.07532,3.45387,
11                    7,0.01825,0.01966,0.00138,0.02568,0.08288,0.10815,6.26551,0.06161,4.53032,0.43317,0.01977,0.01332,0.00883,0.02327,0.03495,0.06119,0.03165,0.58583,1.08010,0.00346,0.00498,0.00075,0.16914,4.22607,
11                    8,0.02126,0.01470,0.00110,0.02988,0.10038,0.10168,11.51011,0.04629,7.06844,0.67367,0.02368,0.01076,0.00581,0.02523,0.04256,0.04270,0.02285,0.40744,1.17816,0.00265,0.00410,0.00062,0.12213,4.17829,
11                    9,0.02596,0.01701,0.00142,0.02761,0.10266,0.10391,8.98524,0.07380,7.00526,0.89817,0.02341,0.01201,0.00703,0.02976,0.05760,0.04923,0.02577,0.49151,1.08964,0.00311,0.00497,0.00087,0.13846,4.43928,
11                    10,0.01719,0.01523,0.00143,0.02584,0.09165,0.08335,5.68438,0.07468,4.31478,0.51490,0.02030,0.01021,0.00642,0.02191,0.04010,0.04478,0.02331,0.43148,0.90943,0.00270,0.00435,0.00085,0.12371,3.81728,
12                    1,0.00169,0.00214,0.00031,0.00374,0.01309,0.00915,0.42645,0.02253,0.31587,0.04376,0.00275,0.00106,0.00080,0.00245,0.00412,0.00489,0.00262,0.04671,0.08086,0.00031,0.00056,0.00019,0.01300,0.62451,
12                    2,0.00876,0.00566,0.00037,0.01232,0.03167,0.05845,6.48298,0.01599,3.51794,0.25590,0.00786,0.00556,0.00311,0.01224,0.00954,0.02158,0.01162,0.19492,0.62764,0.00140,0.00180,0.00021,0.06210,1.62336,
12                    3,0.01378,0.00510,0.00021,0.00693,0.01992,0.06488,6.00856,0.00468,3.78445,0.36395,0.00469,0.00654,0.00385,0.01576,0.01420,0.02532,0.01440,0.24731,0.75051,0.00182,0.00219,0.00016,0.07312,1.42106,
12                    4,0.01796,0.00841,0.00056,0.02294,0.07334,0.12814,14.05578,0.01370,7.44662,0.56662,0.01580,0.01293,0.00672,0.02601,0.02047,0.04962,0.02590,0.44335,1.49580,0.00312,0.00392,0.00023,0.14285,2.80268,
12                    5,0.00408,0.00307,0.00031,0.01048,0.03094,0.04237,4.77657,0.00984,2.34321,0.15956,0.00716,0.00443,0.00228,0.00769,0.00566,0.01772,0.00893,0.15170,0.44151,0.00104,0.00132,0.00012,0.05001,1.04210,
12                    6,0.00874,0.00595,0.00052,0.02073,0.06219,0.08815,10.60076,0.01183,5.06022,0.31316,0.01364,0.00880,0.00437,0.01594,0.01034,0.03361,0.01698,0.28221,0.98913,0.00203,0.00244,0.00016,0.09700,1.96465,
12                    7,0.00359,0.00400,0.00032,0.00941,0.02351,0.04528,3.57024,0.00633,1.68637,0.06340,0.00598,0.00548,0.00325,0.00678,0.00209,0.02465,0.01190,0.21068,0.37771,0.00127,0.00154,0.00009,0.06825,1.04383,
12                    8,0.00315,0.00109,0.00009,0.00224,0.00690,0.01338,1.37448,0.00125,0.90415,0.09513,0.00175,0.00129,0.00077,0.00337,0.00413,0.00498,0.00265,0.04682,0.12243,0.00037,0.00041,0.00005,0.01425,0.29591,
12                    9,0.00780,0.00409,0.00037,0.01348,0.04054,0.06199,7.08346,0.00943,3.76077,0.30400,0.00931,0.00630,0.00310,0.01247,0.01136,0.02395,0.01205,0.20776,0.63363,0.00144,0.00185,0.00013,0.06850,1.42300,
12                    10,0.00275,0.00293,0.00034,0.01131,0.03206,0.04185,4.93700,0.01062,2.14704,0.10276,0.00746,0.00446,0.00230,0.00702,0.00374,0.01792,0.00863,0.14301,0.41980,0.00101,0.00123,0.00012,0.05025,0.97012,
12                    11,0.01432,0.01559,0.00109,0.03106,0.09432,0.10429,10.97752,0.04184,5.86862,0.38765,0.02217,0.01124,0.00633,0.02109,0.02594,0.04599,0.02429,0.41945,1.23935,0.00274,0.00405,0.00056,0.13073,4.07343,
