**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Cr, 32.65193, 32.58883, 32.61931, 32.63214, 32.65165, 32.68067, 32.63177,  0.02359,  0.00072,  0.00072
Mn, 19.21958, 19.18012, 19.19689, 19.20975, 19.22476, 19.25435, 19.21082,  0.01860,  0.00097,  0.00097
Fe, 16.25882, 16.22168, 16.24104, 16.24826, 16.26324, 16.29127, 16.25107,  0.01691,  0.00104,  0.00104
Ni, 73.32210, 73.26312, 73.27180, 73.28511, 73.29728, 73.32210, 73.28676,  0.01758,  0.00024,  0.00024
Cu, 43.94048, 43.87058, 43.90427, 43.91499, 43.93743, 43.95739, 43.91700,  0.02408,  0.00055,  0.00055
Zn, 58.29257, 58.24329, 58.26281, 58.27471, 58.30265, 58.34075, 58.28281,  0.02771,  0.00048,  0.00048
Br, 73.28355, 73.22770, 73.25558, 73.27646, 73.31163, 73.38423, 73.28316,  0.03909,  0.00053,  0.00053
Rb, 29.07476, 29.02983, 29.05233, 29.06024, 29.08667, 29.11583, 29.06586,  0.02473,  0.00085,  0.00085
Sr, 20.89401, 20.85717, 20.87222, 20.88488, 20.90103, 20.93331, 20.88645,  0.01984,  0.00095,  0.00095
Zr, 16.92697, 16.88672, 16.90592, 16.91553, 16.93042, 16.95704, 16.91747,  0.01710,  0.00101,  0.00101
Pb, 61.04432, 60.98959, 61.00849, 61.02028, 61.04395, 61.06383, 61.02477,  0.02184,  0.00036,  0.00036
BC, 77.85919, 77.69967, 77.78994, 77.81543, 77.83284, 77.85919, 77.80867,  0.03642,  0.00047,  0.00047

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  5.87758,  5.87758,  5.88520,  5.88825,  5.89365,  5.90617,  5.88965,  0.00716,  0.00121,  0.00122
Na, 66.51757, 66.51757, 66.55473, 66.58113, 66.61399, 66.70545, 66.58689,  0.04197,  0.00063,  0.00063
Mg,  2.88393,  2.88155,  2.88490,  2.88728,  2.89019,  2.89297,  2.88743,  0.00316,  0.00109,  0.00109
Al,  0.02184,  0.02160,  0.02184,  0.02197,  0.02213,  0.02243,  0.02200,  0.00022,  0.00980,  0.00988
Si,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S, 11.09380, 11.04579, 11.07607, 11.10971, 11.12026, 11.15331, 11.10085,  0.03156,  0.00284,  0.00284
Cl, 67.47744, 67.46062, 67.47703, 67.49888, 67.51575, 67.53443, 67.49757,  0.02328,  0.00034,  0.00035
K,  6.21682,  6.21682,  6.22375,  6.22723,  6.23796,  6.24898,  6.22992,  0.00933,  0.00150,  0.00150
Ca,  2.56531,  2.56531,  2.56751,  2.56965,  2.57234,  2.58128,  2.57028,  0.00387,  0.00151,  0.00151
Ti,  0.55615,  0.55615,  0.55679,  0.55700,  0.55765,  0.55899,  0.55719,  0.00071,  0.00127,  0.00128
V,  5.32284,  5.32284,  5.32975,  5.33447,  5.33822,  5.35409,  5.33508,  0.00722,  0.00135,  0.00136
