**** Analysis Summary ****

Time of run: ,06/30/15 14:29
Concentration file: ,E:\pmf\RFsH.csv
Uncertainty file: ,E:\pmf\RFsHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0,  2.45000, 20.81250, 24.50500, 28.85250,115.18000, 100.00 %, 100.00 %
11                    5,0.25738,0.31802,0.01232,0.07173,0.21397,0.43708,47.56638,6.69889,53.14339,5.84764,0.03422,0.08907,0.08960,0.35750,0.30885,0.49738,0.17973,2.22305,7.31811,0.03287,0.04570,0.00840,0.71403,15.40535,
11                    6,0.05414,0.06829,0.00281,0.02065,0.05803,0.10798,9.63781,1.29804,11.72159,1.26429,0.01007,0.02320,0.02300,0.09058,0.05950,0.13564,0.04636,0.57637,1.77194,0.00930,0.01217,0.00222,0.19146,3.71330,
11                    7,0.00400,0.02368,0.00134,0.00891,0.01768,0.01091,0.51731,0.89451,0.59810,0.14008,0.00494,0.00117,0.00130,0.00654,0.01410,0.00657,0.00348,0.02889,0.14948,0.00048,0.00078,0.00022,0.00981,0.25747,
11                    8,0.03711,0.05945,0.00195,0.01007,0.02933,0.06749,7.38442,1.11370,8.25324,0.92756,0.00479,0.01379,0.01337,0.05407,0.04659,0.07659,0.02717,0.33263,1.17697,0.00494,0.00725,0.00134,0.11037,2.21066,
11                    9,0.00928,0.00585,0.00025,0.00190,0.00502,0.01485,1.36893,0.08920,1.47959,0.13823,0.00090,0.00232,0.00233,0.00885,0.00757,0.01300,0.00493,0.05998,0.18601,0.00093,0.00117,0.00023,0.01887,0.52894,
11                    10,0.07893,0.09433,0.00320,0.01514,0.04688,0.15293,16.33306,1.78160,18.40637,2.02775,0.00722,0.03021,0.02919,0.11940,0.09941,0.16668,0.05786,0.71733,2.49898,0.01063,0.01553,0.00281,0.23921,4.49737,
12                    1,0.02117,0.01271,0.00048,0.00698,0.01396,0.04085,3.29416,0.08901,3.50334,0.30480,0.00412,0.00596,0.00644,0.02265,0.01720,0.03546,0.01319,0.16217,0.40311,0.00248,0.00313,0.00063,0.04973,1.31047,
12                    2,0.11845,0.14148,0.00422,0.02372,0.06989,0.22539,25.14653,2.05761,28.53823,3.02905,0.01271,0.04623,0.04564,0.18531,0.15126,0.25258,0.08801,1.11202,3.74773,0.01628,0.02373,0.00422,0.36163,6.75048,
12                    3,0.03927,0.04208,0.00102,0.00910,0.01925,0.09896,8.93906,0.03390,11.00396,1.15411,0.00484,0.02028,0.02026,0.08113,0.04644,0.11559,0.03845,0.49955,1.36390,0.00740,0.01064,0.00192,0.16204,2.43704,
12                    4,0.00317,0.00644,0.00021,0.00263,0.00390,0.00983,0.55403,0.07123,0.74026,0.07397,0.00157,0.00148,0.00146,0.00595,0.00450,0.00879,0.00288,0.03500,0.11499,0.00064,0.00085,0.00017,0.01227,0.22485,
12                    5,0.10453,0.12497,0.00378,0.02485,0.06903,0.20690,21.49856,1.39260,25.02752,2.69097,0.01317,0.04381,0.04385,0.17605,0.12704,0.24551,0.08429,1.07661,3.28017,0.01593,0.02269,0.00409,0.34828,6.27446,
12                    6,0.00906,0.01293,0.00043,0.00591,0.01201,0.02651,1.77031,0.07574,2.72286,0.28830,0.00322,0.00663,0.00650,0.02600,0.01181,0.03974,0.01237,0.15684,0.40883,0.00284,0.00361,0.00065,0.05456,0.73761,
12                    7,0.02471,0.01656,0.00063,0.00568,0.01215,0.05057,4.31163,0.22019,4.53344,0.42455,0.00305,0.00667,0.00735,0.02616,0.02305,0.03783,0.01498,0.18431,0.54716,0.00244,0.00332,0.00063,0.05483,1.50441,
12                    8,0.00276,0.00879,0.00021,0.00081,0.00257,0.01456,0.90252,0.12773,1.16673,0.14310,0.00047,0.00224,0.00206,0.00915,0.00596,0.01265,0.00406,0.04913,0.14801,0.00081,0.00124,0.00023,0.01760,0.15350,
12                    9,0.00972,0.02803,0.00159,0.00694,0.02412,0.01440,1.67725,1.23862,1.68783,0.26741,0.00303,0.00273,0.00286,0.01131,0.02250,0.01504,0.00686,0.06801,0.33015,0.00103,0.00142,0.00029,0.02246,0.62523,
12                    10,0.01423,0.02074,0.00033,0.00256,0.00504,0.04578,4.18258,0.00884,5.33729,0.58482,0.00197,0.01009,0.00952,0.04070,0.02257,0.05725,0.01792,0.22815,0.69055,0.00362,0.00540,0.00095,0.07956,0.86241,
12                    11,0.03720,0.05386,0.00278,0.01368,0.04388,0.05095,5.96543,1.98931,6.13028,0.74676,0.00558,0.00948,0.00954,0.03846,0.04757,0.05209,0.02133,0.23987,0.93693,0.00362,0.00477,0.00094,0.07715,2.19639,
13                    1,0.06348,0.03520,0.00124,0.01170,0.03394,0.08274,9.80432,0.48862,10.08321,0.97190,0.00544,0.01514,0.01610,0.06007,0.05472,0.08205,0.03255,0.40609,1.04855,0.00582,0.00735,0.00143,0.11763,3.50061,
13                    2,0.05125,0.06002,0.00202,0.01083,0.03249,0.10236,10.63415,1.06315,12.28194,1.16461,0.00530,0.01965,0.01977,0.07573,0.05779,0.11245,0.03896,0.48280,1.76751,0.00717,0.01027,0.00181,0.16257,3.14713,
13                    3,0.01221,0.01362,0.00055,0.00815,0.01095,0.03963,2.12556,0.05987,3.01184,0.23468,0.00428,0.00607,0.00641,0.02332,0.01024,0.03940,0.01286,0.15862,0.42998,0.00259,0.00341,0.00064,0.05504,0.92900,
