**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 7

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Fe, 21.47116,  7.04581,  8.19579, 15.34458, 20.46936, 21.47116, 14.54718,  6.24482,  0.42928,  0.29085
Ni, 38.16270, 32.67798, 36.48800, 37.88685, 38.51914, 41.43637, 37.43967,  2.19684,  0.05868,  0.05757
Cu, 34.97989, 26.54117, 30.81043, 33.37786, 34.15120, 36.16543, 32.38320,  2.67206,  0.08251,  0.07639
Zn, 45.91245, 38.82545, 43.98218, 45.03898, 46.06986, 49.21626, 44.79716,  2.63953,  0.05892,  0.05749
Br, 50.66394, 47.34632, 48.82047, 50.71325, 55.04024, 60.01824, 52.03845,  3.70407,  0.07118,  0.07311
Rb, 20.43832,  6.04924,  7.04455, 14.34678, 19.48453, 20.43960, 13.49989,  6.30108,  0.46675,  0.30830
Sr, 19.84300,  6.31579,  7.34453, 14.08087, 18.90465, 19.84300, 13.32819,  5.87354,  0.44069,  0.29600
Zr, 20.13543,  5.73480,  6.66897, 13.92162, 19.16518, 20.13543, 13.13051,  6.32398,  0.48163,  0.31407
Pb, 48.39714, 41.78364, 46.42813, 48.29069, 49.20600, 52.95486, 47.72541,  2.79523,  0.05857,  0.05776

Percent of Total Variable

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.89567,  0.85105,  0.85338,  0.89458,  0.89527,  0.89567,  0.87884,  0.01962,  0.02232,  0.02190
Al,  6.80346,  6.50677,  6.52055,  6.79688,  6.80117,  6.80391,  6.69175,  0.13130,  0.01962,  0.01930
Si, 14.59578, 13.98025, 14.00813, 14.58095, 14.59079, 14.59628, 14.36347,  0.27228,  0.01896,  0.01865
P,  0.02112,  0.02112,  0.02114,  0.02121,  0.02628,  0.02657,  0.02316,  0.00241,  0.10406,  0.11411
S,  0.00000,  0.00000,  0.00000,  0.00056,  0.14600,  0.15353,  0.05706,  0.06852,  1.20087,864118189595.99200
Cl,  0.49364,  0.49364,  0.49375,  0.49397,  0.51812,  0.51950,  0.50331,  0.01145,  0.02276,  0.02320
K,  1.15221,  1.15217,  1.15266,  1.15396,  1.26590,  1.27152,  1.19689,  0.05302,  0.04429,  0.04601
Ca,  3.23157,  3.13336,  3.13769,  3.22946,  3.23221,  3.23447,  3.19533,  0.04393,  0.01375,  0.01359
Ti,  0.49474,  0.47398,  0.47493,  0.49429,  0.49464,  0.49477,  0.48694,  0.00920,  0.01890,  0.01860
V,  0.00772,  0.00754,  0.00755,  0.00772,  0.00772,  0.00773,  0.00766,  0.00008,  0.01062,  0.01052
Cr,  0.00649,  0.00644,  0.00644,  0.00649,  0.00649,  0.00650,  0.00647,  0.00002,  0.00360,  0.00359
Mn,  0.06890,  0.06632,  0.06644,  0.06885,  0.06888,  0.06890,  0.06793,  0.00114,  0.01681,  0.01657
