**** Analysis Summary ****

Time of run: ,05/08/16 00:07
Concentration file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\TGeH.csv
Uncertainty file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\TGeHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
14                    4,0.00010,0.00001,0.00002,0.00001,0.00000,0.00000,0.00010,0.00002,0.00002,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00017,0.00000,
14                    5,0.57846,331.63886,4.06991,26.83314,11.28887,466.27240,3.19578,4.76320,2.58197,4.30263,2.51940,3.99071,18.37264,4.77840,26.81304,7.22773,4.15159,
14                    6,0.58047,331.61115,4.06446,26.84507,11.33371,466.47598,3.19998,4.75063,2.58342,4.31682,2.52417,3.99663,18.37091,4.78284,26.78446,7.23879,4.14008,
14                    7,0.59024,331.58681,4.05478,26.91553,11.50859,467.17782,3.22297,4.72576,2.59186,4.37790,2.54619,4.02403,18.39079,4.81336,26.75644,7.25653,4.08992,
14                    8,0.59897,331.56833,3.99659,26.93199,11.60645,467.64439,3.23551,4.67373,2.58861,4.42024,2.56546,4.04846,18.35997,4.83096,26.72052,7.20831,4.06553,
14                    9,0.59042,331.58594,4.02373,26.90718,11.52012,467.23311,3.22572,4.72690,2.58973,4.38517,2.55023,4.03003,18.38020,4.81730,26.74691,7.29792,4.08722,
14                    10,0.59043,331.58332,3.97783,26.91434,11.48322,467.10840,3.18656,4.73417,2.60658,4.37555,2.54136,4.02481,18.37484,4.80677,26.73272,7.14991,4.09212,
14                    11,0.00011,0.00002,0.00002,0.00000,0.00000,0.00001,0.00009,0.00002,0.00003,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00016,0.00000,
14                    12,0.58434,331.59645,4.06990,26.86872,11.38266,466.66251,3.20847,4.73457,2.59162,4.33837,2.53347,4.00655,18.37217,4.79403,26.79195,7.22485,4.12962,
14                    13,0.00011,0.00001,0.00002,0.00000,0.00001,0.00000,0.00009,0.00003,0.00003,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,0.00013,0.00000,
15                    1,0.57745,331.61301,4.07721,26.84627,11.33759,466.47488,3.21006,4.74752,2.58245,4.31889,2.52591,3.99601,18.37213,4.78436,26.79160,7.22332,4.14059,
15                    2,0.57874,331.59502,4.08259,26.85046,11.33736,466.44662,3.21647,4.74482,2.58314,4.31992,2.52809,3.99541,18.37607,4.78457,26.80498,7.22262,4.14173,
15                    3,0.00001,0.00001,0.00008,0.00004,0.00002,0.00007,0.00030,0.00016,0.00010,0.00002,0.00003,0.00002,0.00004,0.00002,0.00008,0.00121,0.00002,
15                    4,0.57794,331.61237,4.07798,26.84616,11.33759,466.47260,3.21228,4.74923,2.58150,4.31807,2.52769,3.99572,18.37252,4.78575,26.80002,7.22351,4.13898,
15                    5,0.00001,0.00012,0.00016,0.00036,0.00025,0.00074,0.00018,0.00015,0.00035,0.00012,0.00006,0.00006,0.00017,0.00007,0.00025,0.00023,0.00004,
