id,ug_cm2,erro
ACC686,3.9316617745,0.088491712
ACC687,3.515737334,0.077776532
ACC690,3.8328908863,0.0859214983
ACC691,5.2279148783,0.123160617
ACC692,5.6996011648,0.1360493893
ACC693,4.0228973138,0.0908779799
ACC694,3.2239245866,0.0704652616
ACC695,5.8318979798,0.1396809052
ACC696,5.9170836646,0.1420225529
ACC697,4.2125000882,0.0958704648
ACC699,3.6989486532,0.0824601129
ACC700,4.8102109075,0.1118428697
ACC701,3.2570703956,0.0712850952
ACC702,5.6192836373,0.1338479405
ACC704,3.2321828961,0.0706692438
ACC705,2.9460480675,0.0637229831
ACC706,5.6511991275,0.1347224178
ACC707,5.3439341591,0.1263213971
ACC708,5.8998869251,0.1415496346
ACC709,7.2057360414,0.1776891398
ACC710,4.7848337195,0.1111588248
ACC711,4.5999224166,0.1061887711
ACC712,4.4933064151,0.1033354711
ACC714,4.564037018,0.1052273282
ACC715,6.9000537064,0.1691945743
ACC716,4.311122876,0.0984833602
ACC718,7.3304683001,0.1811600769
ACC720,5.0741740247,0.1189830059
ACC721,4.5050001864,0.1036479523
ACC722,3.0468092869,0.0661387179
ACC723,3.3755071636,0.0742378236
ACC724,4.0850115638,0.0925087743
ACC725,2.9004636877,0.0626423321
ACC726,2.9922082652,0.0648252033
ACC730,4.9004451314,0.1142786955
ACC731,3.7653061257,0.0841713091
ACC732,3.1666331494,0.0690554333
ACC733,4.9530259004,0.1157005426
ACC734,4.7848337195,0.1111588248
ACC735,3.2989299644,0.0723246374
ACC736,5.0063742989,0.1171449125
ACC738,3.1747628533,0.0692549154
ACC739,2.8183411217,0.0607164234
ACC741,4.5879214193,0.1058671227
ACC742,4.5167314979,0.103961556
ACC744,4.564037018,0.1052273282
ACC746,4.2125000882,0.0958704648
ACC747,5.2709916097,0.1243333953
ACC748,4.1270154791,0.0936142652
ACC749,6.5353930046,0.159085796
ACC754,7.2551192307,0.1790630185
ACC755,7.5663114433,0.1877297159
ACC756,7.0379682018,0.1730249098
ACC757,3.6989486532,0.0824601129
ACC758,6.4149106503,0.155752644
ACC759,5.2709916097,0.1243333953
ACC760,3.2570703956,0.0712850952
ACC761,7.4859939158,0.1854914355
ACC762,3.4449496408,0.0759847835
ACC763,4.6850514002,0.1084736618
ACC764,6.9683603754,0.1710912141
ACC767,2.9384110733,0.0635413831
ACC768,4.8744357662,0.1135760295
ACC769,7.2800633576,0.1797571403
ACC770,8.45005168,0.2124134282
ACC771,7.0379682018,0.1730249098
ACC772,3.9618212337,0.0892792922
ACC773,6.0936542605,0.1468839311
ACC776,8.9676852204,0.2269102223
ACC777,3.8328908863,0.0859214983
ACC778,4.3445976176,0.0993725145
ACC779,5.4183624018,0.1283525229
ACC780,6.1852455311,0.1494094534
ACC781,7.7608828938,0.1931558598
ACC782,2.8929212694,0.0624643044
ACC784,4.1164691503,0.0933365004
ACC786,0.2304201851,0.0419291465
ACC787,0.212284662,0.0422203427
ACC788,2.4002513303,0.0514314435
ACC789,2.4533092554,0.0525524441
ACC790,2.0971304636,0.045454347
ACC791,6.76715541,0.1655071487
ACC792,6.3561270707,0.1541277276
ACC793,4.5999224166,0.1061887711
ACC794,4.0538224664,0.0916893068
ACC795,5.3292287051,0.1259204
ACC796,5.1154659939,0.1201037592
ACC797,7.6762234999,0.1907942561
ACC800,3.3669189096,0.074022546
ACC801,5.5406935031,0.1316963578
ACC802,8.4846898578,0.2133827146
ACC803,5.3292287051,0.1259204
ACC804,5.8318979798,0.1396809052
ACC805,3.6337746893,0.0807868332
ACC806,5.8150965691,0.1392193557
ACC807,6.9914159749,0.1717315933
ACC808,0.3411650357,0.0402479855
ACC809,4.2341873945,0.0964441581
ACC811,3.9316617745,0.088491712
ACC813,8.662983774,0.2183738012
ACC814,8.626622276,0.2173556659
ACC815,8.45005168,0.2124134282
ACC816,9.9663811623,0.2549392343
ACC817,7.8769021745,0.196393815
ACC818,6.39521087,0.1552079958
ACC820,3.4537234755,0.0762062786
ACC821,7.8184321208,0.1947617675
ACC822,3.9517403986,0.0890159034
ACC823,5.683395815,0.1356050082
ACC824,5.0333434279,0.1178757384
ACC825,0.4515062778,0.0387540224
ACC826,6.4947892491,0.1579620896
ACC828,5.986691491,0.1439378103
ACC830,2.9460480675,0.0637229831
ACC832,8.1522516528,0.2040852138
ACC834,4.3334052646,0.0990750994
ACC835,3.3327663209,0.0731682157
ACC836,6.8330004417,0.1673336437
ACC837,8.7742908679,0.2214911973
ACC838,6.1300157585,0.1478862575
ACC839,3.5068135191,0.0775500733
ACC840,0.3038759326,0.0407947881
ACC841,4.8744357662,0.1135760295
ACC843,3.8037728008,0.0851665704
ACC845,8.0892449127,0.2023244342
ACC846,0.3299382975,0.0404104792
ACC847,0.3599532539,0.0399802441
ACC849,4.0850115638,0.0925087743
ACC850,5.5251762807,0.131271844
ACC851,4.3334052646,0.0990750994
