**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 19

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
BC,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.63988,  0.09594,  0.23431,  2.44232,  0.00000

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  3.13716,  3.13498,  3.13719,  3.13830,  3.14598,  4.45897,  3.33721,  0.48312,  0.14477,  0.15400
Mg,  0.41139,  0.37120,  0.40888,  0.41124,  0.41137,  0.41164,  0.40489,  0.01451,  0.03583,  0.03526
Al,  1.34781,  0.00000,  1.32607,  1.34530,  1.34727,  1.35071,  1.14099,  0.49187,  0.43109,  0.36494
Si,  2.77677,  0.19773,  2.73036,  2.77157,  2.77566,  2.78301,  2.38009,  0.94080,  0.39528,  0.33881
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S,  1.78202,  1.78115,  1.78207,  1.78289,  1.78830,  2.24183,  1.85214,  0.16737,  0.09037,  0.09392
Cl,  7.56573,  7.56222,  7.56588,  7.56857,  7.57976, 10.43186,  7.99857,  1.04686,  0.13088,  0.13837
K,  2.51999,  2.51952,  2.52016,  2.52032,  2.52405,  2.81220,  2.56449,  0.10635,  0.04147,  0.04220
Ca,  1.09451,  0.94777,  1.08919,  1.09400,  1.09430,  1.09509,  1.07140,  0.05329,  0.04974,  0.04869
Ti,  0.10392,  0.03236,  0.10260,  0.10377,  0.10388,  0.10409,  0.09291,  0.02610,  0.28095,  0.25117
V,  0.00604,  0.00549,  0.00603,  0.00604,  0.00604,  0.00604,  0.00595,  0.00020,  0.03359,  0.03313
Mn,  0.02357,  0.01252,  0.02342,  0.02355,  0.02357,  0.02359,  0.02188,  0.00403,  0.18438,  0.17117
Fe,  0.97002,  0.38775,  0.95908,  0.96875,  0.96979,  0.97150,  0.88035,  0.21236,  0.24122,  0.21892
Zn,  0.12369,  0.11585,  0.12369,  0.12371,  0.12373,  0.12423,  0.12258,  0.00290,  0.02365,  0.02343
Br,  0.08139,  0.00000,  0.08137,  0.08140,  0.08143,  0.08191,  0.06924,  0.02984,  0.43100,  0.36666
Pb,  0.08239,  0.07656,  0.08238,  0.08239,  0.08241,  0.08273,  0.08155,  0.00214,  0.02628,  0.02602
BC, 12.77562, 11.06506, 12.77483, 12.77643, 12.77914, 12.83210, 12.52538,  0.62778,  0.05012,  0.04914

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.27650,  0.04140,  0.10112,  2.44232,  0.00000
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00337,  0.12534,  0.01936,  0.04566,  2.35805,  0.00000
Al,  1.30177,  1.30140,  1.30295,  1.30406,  1.32496,  1.47969,  1.33337,  0.06335,  0.04751,  0.04866
Si,  2.52013,  2.51940,  2.52271,  2.52513,  2.57022,  3.04694,  2.60980,  0.18854,  0.07224,  0.07481
P,  0.02502,  0.02502,  0.02502,  0.02503,  0.02509,  0.05761,  0.02992,  0.01193,  0.39861,  0.47659
S,  1.22303,  1.21884,  1.22204,  1.22259,  1.22294,  2.03342,  1.34359,  0.29668,  0.22081,  0.24258
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  3.04160,  3.03373,  3.04088,  3.04123,  3.04162,  3.36876,  3.08965,  0.12019,  0.03890,  0.03952
Ca,  0.64798,  0.64792,  0.64837,  0.64868,  0.65461,  0.75669,  0.66571,  0.03911,  0.05874,  0.06035
Ti,  0.09014,  0.09012,  0.09021,  0.09028,  0.09155,  0.09978,  0.09189,  0.00342,  0.03727,  0.03799
V,  0.00579,  0.00579,  0.00579,  0.00579,  0.00579,  0.00593,  0.00581,  0.00005,  0.00913,  0.00917
Mn,  0.02599,  0.02378,  0.02599,  0.02600,  0.02601,  0.02625,  0.02569,  0.00082,  0.03201,  0.03164
Fe,  1.02625,  1.02619,  1.02696,  1.02746,  1.03763,  1.05740,  1.03338,  0.01122,  0.01085,  0.01093
Zn,  0.11194,  0.08895,  0.11164,  0.11191,  0.11192,  0.11194,  0.10843,  0.00839,  0.07738,  0.07495
Br,  0.03545,  0.00000,  0.03532,  0.03539,  0.03541,  0.03545,  0.03007,  0.01296,  0.43100,  0.36565
Pb,  0.06884,  0.05022,  0.06864,  0.06882,  0.06883,  0.06884,  0.06601,  0.00680,  0.10297,  0.09873
BC, 16.63973, 12.63904, 16.59019, 16.63514, 16.63697, 16.64094, 16.03065,  1.45746,  0.09092,  0.08759

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  3.72728,  3.72681,  3.72775,  3.72859,  3.73772,  4.59807,  3.85972,  0.31676,  0.08207,  0.08498
Mg,  0.63618,  0.63294,  0.63626,  0.63663,  0.63686,  0.77950,  0.65759,  0.05225,  0.07946,  0.08213
