**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 19

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
K, 18.59073, 18.46078, 26.97638, 27.07536, 27.17740, 27.65798, 26.29776,  2.66755,  0.10144,  0.14349
Ca, 36.36019, 36.12090, 41.00352, 41.09557, 41.19954, 41.61315, 40.67179,  1.52776,  0.03756,  0.04202
Ti, 26.14608, 25.94911, 36.33242, 36.47331, 36.62200, 37.29448, 35.53575,  3.26002,  0.09174,  0.12468
V, 36.48922, 36.20791, 46.08017, 46.22471, 46.37352, 47.01823, 45.33354,  3.08719,  0.06810,  0.08461
Mn, 34.97372, 34.71443, 46.72746, 46.88834, 47.06054, 47.80815, 45.79865,  3.76237,  0.08215,  0.10758
Fe, 29.04658, 28.84451, 37.53631, 37.66423, 37.79662, 38.38348, 36.88182,  2.72781,  0.07396,  0.09391
Zn, 46.08065, 27.97343, 28.66296, 28.78135, 28.87155, 46.08065, 30.39986,  5.33038,  0.17534,  0.11567
Br,  6.71751,  6.52212,  6.60012,  6.60537,  6.61138,  6.71751,  6.60753,  0.03380,  0.00512,  0.00503
Pb, 35.34110, 30.57428, 30.71815, 30.74181, 30.75597, 35.34110, 31.17985,  1.39059,  0.04460,  0.03935

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 49.99271, 40.61026, 41.46313, 41.61367, 41.75767, 50.05910, 42.32683,  2.65681,  0.06277,  0.05314
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg, 60.24612, 58.33511, 59.08304, 59.20512, 59.33475, 60.33102, 59.20635,  0.48105,  0.00812,  0.00798
Al, 52.09011, 50.91998, 51.56313, 51.66689, 51.77417, 52.16105, 51.61866,  0.31512,  0.00610,  0.00605
Si, 54.72989, 50.08927, 50.87396, 51.00293, 51.13194, 54.80476, 51.26437,  1.24013,  0.02419,  0.02266
P,  0.00000,  0.00000, 10.33900, 10.36412, 10.43207, 10.58091,  9.36309,  3.20296,  0.34208,  0.00000
S,  0.00000,  0.00000, 13.13090, 13.23994, 13.35740, 14.18496, 12.03152,  4.12593,  0.34293,  0.00000
Cl,  6.82588,  6.82517, 10.19649, 10.20484, 10.20842, 10.21556,  9.86650,  1.04001,  0.10541,  0.15236
K, 38.64275, 38.64275, 38.98129, 39.21450, 39.27807, 39.28935, 39.13196,  0.19903,  0.00509,  0.00515
Ca, 45.98522, 36.24603, 37.10203, 37.24910, 37.38933, 46.04259, 37.99747,  2.76401,  0.07274,  0.06011
Ti, 53.38313, 46.04502, 46.90079, 47.04548, 47.18596, 53.45255, 47.55519,  2.03558,  0.04280,  0.03813
V, 56.71489, 45.31011, 46.30711, 46.48129, 46.64685, 56.79183, 47.35883,  3.23922,  0.06840,  0.05711
Mn, 61.27873, 49.22764, 50.30445, 50.48864, 50.66629, 61.36239, 51.41204,  3.41734,  0.06647,  0.05577
Fe, 49.92503, 42.26344, 43.10578, 43.24830, 43.38706, 49.98974, 43.79383,  2.13611,  0.04878,  0.04279
Zn,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Br,  2.17250,  2.17250, 11.23395, 11.30967, 11.38752, 11.99205, 10.47886,  2.84635,  0.27163,  1.31017
Pb, 19.38869, 18.13857, 18.29169, 18.33330, 18.36318, 19.41244, 18.41352,  0.34511,  0.01874,  0.01780

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  5.03594,  5.03594,  6.13463,  6.14922,  6.16921,  6.24423,  6.05161,  0.34899,  0.05767,  0.06930
Na,  0.00000,  0.00000,  3.89305,  3.97995,  4.08144,  4.38855,  3.63511,  1.24692,  0.34302,357316102.56239
Mg, 16.91120,  3.64344,  4.05518,  4.16778,  4.21651, 17.14617,  5.37504,  3.98946,  0.74222,  0.23591
Al, 32.71175, 23.03526, 23.22832, 23.26868, 23.30128, 33.00490, 24.20629,  2.96014,  0.12229,  0.09049
Si, 22.89277, 16.33434, 16.45726, 16.47900, 16.49969, 23.09028, 17.11826,  2.00934,  0.11738,  0.08777
P, 87.83466, 81.99245, 82.06962, 82.08337, 82.10886, 88.30370, 82.68135,  1.84491,  0.02231,  0.02100
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Cl, 29.12364, 27.27303, 27.32228, 27.36488, 27.45969, 29.33456, 27.56078,  0.57702,  0.02094,  0.01981
K,  1.80541,  0.00000,  0.00000,  0.00000,  0.00000,  1.82126,  0.18133,  0.55814,  3.07796,  0.30915
Ca, 10.02301, 10.01483, 13.00066, 13.02132, 13.05875, 13.19349, 12.74654,  0.93466,  0.07333,  0.09325
Ti, 16.79811, 14.12028, 14.14591, 14.15355, 14.16150, 16.91813, 14.42217,  0.83339,  0.05779,  0.04961
V,  0.00000,  0.00000,  1.27989,  1.28897,  1.30334,  1.35989,  1.16954,  0.40071,  0.34262,  0.00000
Mn,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Fe, 16.03010, 14.74161, 14.74965, 14.75462, 14.77348, 16.11197, 14.89015,  0.40440,  0.02716,  0.02523
