SampleID,11,11erro,12,12erro,13,13erro,14,14erro,15,15erro,16,16erro,17,17erro,19,19erro,20,20erro,22,22erro,23,23erro,24,24erro,25,25erro,26,26erro,28,28erro,29,29erro,30,30erro,35,35erro,37,37erro,38,38erro,40,40erro,82,82erro
AFR22      ,2888.118164,667.691833,1731.109741,419.845917,4087.05542,172.380814,10164.561523,255.099106,110.520355,27.201637,2592.689941,61.998394,6000.888184,110.504814,4960.703613,73.505554,5756.609375,79.70974,293.044128,9.496303,16.397228,4.618107,15.808475,7.069078,79.599525,4.804924,1971.67334,53.624443,43.434456,7.194435,0,0,31.717916,17.963158,111.580704,8.683037,44.172085,9.085436,66.859238,9.503977,16.745853,9.772897,64.936089,18.404064
AFR23      ,2176.120605,649.337463,3103.455811,443.266388,10827.479492,296.549408,25066.59375,579.943359,372.817963,33.739746,4147.505859,91.113556,8234.219727,148.281555,9606.130859,138.058075,12785.166016,171.001678,965.71283,26.646839,37.082066,4.895337,1.698069,6.937305,185.97403,6.295693,4177.420898,110.463409,43.470642,6.675201,0,0,121.601898,18.024403,93.820091,7.909922,57.376465,8.408565,113.638222,8.86778,56.231964,9.075518,53.859875,16.916653
AFR24      ,2496.506592,766.993774,3315.266602,482.436646,14318.289063,373.272888,30050.640625,690.402405,626.131165,40.751862,3648.797607,83.330704,12159.538086,214.938004,10890.444336,156.057602,16320.193359,217.110229,1274.388184,34.858101,54.115074,5.787624,18.336472,7.383842,228.048813,7.565927,5968.089844,156.917496,98.350075,8.340365,0,0,203.465042,18.94861,112.904938,9.52329,57.010662,10.060138,130.907745,10.679577,45.858261,10.894339,63.52861,20.414345
AFR25      ,2505.64917,745.129639,2964.679443,464.048737,8486.661133,257.356232,21183.201172,496.923553,414.978333,36.581413,3226.998535,75.531319,11516.608398,204.205246,10076.766602,144.759567,11665.099609,156.65477,787.964722,22.127846,48.061836,5.417692,14.072186,7.327565,163.722015,6.297651,4035.354492,106.860245,89.347267,8.017688,0,0,186.529068,18.757242,113.972786,9.208194,51.967155,9.757951,106.894859,10.250439,55.819504,10.702259,56.331825,19.766277
AFR26      ,208.948166,631.053711,1790.991455,425.973785,8637.646484,257.373535,14354.605469,347.928162,119.076462,26.645264,920.706848,33.379257,1622.944824,37.77969,3954.764404,59.870335,4057.72998,58.082886,580.661072,16.822294,8.700173,5.223042,15.888444,7.379088,102.107262,5.53708,3301.569824,87.93882,54.90654,8.117183,0,0,86.62133,18.464125,50.116398,9.346646,34.073982,10.140979,55.353271,10.455481,30.884136,10.962285,91.224228,20.55899
AFR27      ,0,0,10160.99707,622.75116,23294.167969,551.769043,45996.40625,1040.481934,589.956055,39.081802,1805.102661,50.306828,5520.430664,102.371132,9947.697266,142.949203,20163.3125,267.105865,2102.297363,56.693619,22.707451,6.049426,34.028336,7.483882,227.429459,7.570302,11641.898438,304.094147,43.226227,7.919469,1.342863,14.688076,333.329224,19.742506,60.499928,9.008944,58.500366,9.828197,148.583771,10.54892,77.760857,10.847827,85.894493,20.02684
AFR28      ,363.801331,667.860779,2913.938477,449.694824,20134.138672,504.83371,32426.65625,741.642151,157.663269,28.828169,1124.125488,36.665062,1679.119141,38.747616,3805.943359,57.767315,6747.929688,92.436775,1355.201172,37.025761,25.375504,5.90925,19.97665,7.58856,174.806091,6.851487,9761.982422,255.331589,47.35508,8.488064,0,0,142.810303,18.827093,63.848083,9.794611,34.026688,10.518526,73.954369,10.944359,33.58168,11.489697,93.080124,21.510241
AFR29      ,0,0,2825.18335,468.663666,19048.792969,481.100708,44543.496094,1007.522705,251.115662,35.958466,1941.792114,53.085503,10611.492188,188.362671,11469.59668,164.104019,18234.912109,242.027435,1993.968018,53.835304,24.447485,5.907664,27.10041,7.41906,213.248474,7.286984,11366.291992,296.94162,40.473652,7.984034,0,0,253.251389,19.255592,74.189224,9.461559,88.720039,10.328435,134.357941,10.792609,89.074036,11.372398,119.205376,20.910334
AFR30      ,96.039993,479.385498,5757.965332,512.015381,21211.541016,818.315735,37316.839844,849.514343,572.471375,39.254665,2164.221924,56.934959,11658.129883,206.150848,16637.759766,236.139877,19460.505859,258.097931,1834.330566,49.581093,12.760253,5.516097,33.416321,7.258272,265.337921,8.076276,10426.496094,272.533386,30.115297,7.221251,0,0,248.409027,18.910187,158.995071,9.069294,106.832932,9.532775,148.633774,10.021051,53.015011,10.129816,107.165863,18.894527
AFR31      ,0,0,4789.375488,471.891998,22201.833984,539.874512,35069.210938,799.951294,336.428711,31.544956,1380.96521,41.198891,3860.036621,74.30072,6268.956055,91.713493,10893.320313,146.270752,1547.995605,42.024746,26.448523,5.478059,28.177546,7.27258,226.361603,7.331064,9819.385742,256.784729,40.799614,7.373607,0,0,166.609482,18.479765,57.872257,8.43529,42.231873,9.138648,94.605583,9.552152,54.473892,9.972712,106.499641,18.609415
