**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Al,  0.04432,  0.00000,  0.00000,  0.00000,  0.04124,  0.04483,  0.01336,  0.01972,  1.47662,  0.44498
Si,  0.00000,  0.00000,  0.00000,  0.00227,  0.01124,  0.06716,  0.01167,  0.02082,  1.78347,  0.00000
P,  8.14567,  6.20436,  8.16607,  8.23132,  8.36277,  8.43336,  8.06676,  0.64346,  0.07977,  0.07899
S, 22.28442, 18.60483, 21.56408, 21.66496, 22.19815, 22.35832, 21.51288,  1.04175,  0.04842,  0.04675
Cl, 60.80780, 59.08498, 59.31108, 60.70264, 60.78166, 60.82383, 60.27063,  0.74590,  0.01238,  0.01227
K, 10.47946,  6.09588,  9.24449,  9.39931, 10.44343, 10.50337,  9.32815,  1.23510,  0.13241,  0.11786
Ca,  3.56346,  2.94340,  3.37108,  3.42727,  3.56049,  3.56452,  3.40629,  0.17513,  0.05141,  0.04915
Ti,  0.52106,  0.38763,  0.46610,  0.47761,  0.51986,  0.52149,  0.47931,  0.03823,  0.07975,  0.07336
V,  7.05198,  4.44046,  6.29663,  6.36884,  7.03490,  7.05524,  6.35079,  0.73561,  0.11583,  0.10431
Mn,  1.90485,  0.82152,  1.55790,  1.59318,  1.89698,  1.90731,  1.59513,  0.30620,  0.19196,  0.16075
Fe,  0.75344,  0.31298,  0.63893,  0.64645,  0.75148,  0.75784,  0.64244,  0.12390,  0.19285,  0.16444
Zn, 16.21768,  8.72029, 13.55456, 13.92982, 16.13577, 16.22878, 13.93756,  2.13745,  0.15336,  0.13180
Br, 18.00796,  9.12644, 11.98920, 14.94101, 17.89665, 18.00796, 14.72424,  2.88591,  0.19600,  0.16026
Pb, 19.05359, 10.42734, 15.83021, 16.24867, 18.94567, 19.07609, 16.32407,  2.47168,  0.15141,  0.12972
BC, 18.20349,  6.22510, 14.46186, 14.96568, 18.11693, 18.23606, 14.85542,  3.38705,  0.22800,  0.18607

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 11.22990, 10.96898, 11.35971, 16.02060, 17.29859, 19.00706, 15.01840,  2.84932,  0.18972,  0.25373
Na, 17.99343, 14.10264, 17.33658, 17.99425, 18.04468, 18.13933, 17.50650,  1.15194,  0.06580,  0.06402
Mg,  7.33604,  7.23583,  7.39304,  9.89483, 11.23904, 12.12644,  9.73948,  1.81386,  0.18624,  0.24725
Al,  4.70733,  4.55447,  4.78394,  8.49285,  9.54761, 10.71886,  7.86173,  2.22611,  0.28316,  0.47290
Si,  4.91619,  4.76971,  4.98994,  8.55438,  9.73390, 10.83671,  8.00946,  2.20063,  0.27475,  0.44763
P, 58.47478, 57.37149, 58.55593, 59.95220, 60.28055, 60.37038, 59.40408,  1.01795,  0.01714,  0.01741
S, 54.98637, 51.90178, 55.07390, 55.89289, 57.20654, 57.75511, 55.81141,  1.59614,  0.02860,  0.02903
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K, 22.24106, 21.95006, 22.39575, 26.83855, 28.72528, 30.61438, 25.94067,  3.11755,  0.12018,  0.14017
