**** Analysis Summary ****

Time of run: ,05/07/16 23:56
Concentration file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\RGeH.csv
Uncertainty file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\RGeHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
13                    4,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,
13                    5,0.00000,0.00018,0.00002,0.00001,0.00002,0.00001,0.00003,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00003,0.00002,0.00001,
13                    6,2.22471,0.96199,123.24217,7.09805,3.95988,678.15558,105.53961,2.26759,3.30858,11.85091,11.59470,161.22542,112.18453,2.53357,172.37204,191.41733,162.75390,
13                    7,0.00000,0.00004,0.00001,0.00001,0.00001,0.00001,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00001,
13                    8,0.00000,0.00005,0.00001,0.00001,0.00001,0.00001,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,
13                    9,0.62670,570.57307,28.48898,3.84125,9.75503,20.49646,53.24085,27.56555,32.37400,5.73108,1.83989,50.13551,7.61093,11.56035,33.19194,38.46217,35.94608,
13                    10,0.00000,0.00004,0.00002,0.00001,0.00001,0.00001,0.00003,0.00002,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,0.00002,0.00001,0.00001,
13                    11,0.00000,0.00008,0.00001,0.00001,0.00001,0.00001,0.00003,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,
13                    12,0.00000,0.00006,0.00001,0.00001,0.00001,0.00001,0.00003,0.00002,0.00001,0.00001,0.00000,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,
14                    1,1.14702,628.03646,19.94724,8.41498,7.53970,30.30357,85.10003,43.40996,52.60041,9.17191,0.85295,5.98435,18.12934,8.29614,35.05955,4.65479,2.57387,
14                    2,1.14788,628.03545,19.95240,8.41488,7.54113,30.30722,85.08771,43.40063,52.57820,9.17414,0.85235,5.98756,18.12586,8.29657,35.06362,4.65393,2.57308,
14                    3,1.14788,628.03144,19.95443,8.41182,7.54074,30.27357,85.08925,43.41467,52.60004,9.17727,0.85309,5.98844,18.12657,8.30092,35.07972,4.66028,2.57440,
14                    4,0.00000,0.00004,0.00003,0.00002,0.00003,0.00002,0.00006,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00004,0.00002,0.00001,
14                    5,0.00000,0.00007,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,
14                    6,2.22470,0.96381,123.23780,7.09463,3.95413,678.16605,105.52002,2.26334,3.30368,11.84757,11.59211,161.22951,112.18457,2.53062,172.36010,191.41383,162.74987,
14                    7,0.00000,0.00007,0.00003,0.00002,0.00004,0.00002,0.00006,0.00002,0.00001,0.00001,0.00001,0.00001,0.00002,0.00002,0.00006,0.00002,0.00001,
14                    8,0.00000,0.00002,0.00002,0.00001,0.00001,0.00001,0.00004,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00003,0.00001,0.00001,
14                    9,0.62679,570.33405,28.46972,3.83998,9.74324,20.49098,53.22385,27.53653,32.35305,5.72926,1.83425,50.14273,7.61635,11.55176,33.17943,38.44149,35.93317,
14                    10,0.00000,0.00002,0.00002,0.00001,0.00002,0.00001,0.00005,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00003,0.00001,0.00001,
14                    11,0.00000,0.00008,0.00004,0.00003,0.00004,0.00002,0.00004,0.00001,0.00001,0.00001,0.00002,0.00001,0.00003,0.00002,0.00005,0.00002,0.00001,
14                    12,0.00000,0.00007,0.00003,0.00002,0.00004,0.00002,0.00004,0.00001,0.00001,0.00001,0.00001,0.00003,0.00002,0.00002,0.00005,0.00003,0.00001,
14                    13,0.00000,0.00009,0.00004,0.00002,0.00003,0.00003,0.00009,0.00003,0.00002,0.00002,0.00001,0.00001,0.00002,0.00002,0.00007,0.00002,0.00001,
15                    1,1.14720,627.98654,19.95683,8.42955,7.55797,30.30743,85.11271,43.43325,52.59866,9.17112,0.85769,5.98234,18.12204,8.30482,35.06823,4.66381,2.57397,
15                    2,1.14806,627.98552,19.96199,8.42945,7.55939,30.31108,85.10039,43.42393,52.57645,9.17335,0.85709,5.98555,18.11856,8.30525,35.07229,4.66295,2.57318,
15                    3,1.14806,627.98151,19.96400,8.42639,7.55900,30.27743,85.10191,43.43796,52.59828,9.17647,0.85783,5.98643,18.11928,8.30961,35.08838,4.66932,2.57451,
15                    4,0.00000,0.00005,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,
15                    5,0.00000,0.00006,0.00002,0.00002,0.00002,0.00001,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00003,0.00002,0.00001,
15                    6,2.22471,0.96944,123.24215,7.09733,3.96039,678.16146,105.55501,2.26557,3.30596,11.85051,11.59507,161.22420,112.18432,2.53337,172.36910,191.41749,162.72819,
15                    7,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00001,
15                    8,0.00000,0.00005,0.00001,0.00001,0.00002,0.00001,0.00001,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00000,
15                    9,0.62670,570.21563,28.48328,3.84767,9.76206,20.49597,53.23480,27.55684,32.36188,5.72983,1.84032,50.13425,7.60701,11.56150,33.18588,38.45935,35.93867,
15                    10,0.00000,0.00007,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00000,0.00000,0.00001,0.00001,0.00002,0.00001,0.00002,0.00001,0.00001,
15                    11,0.00000,0.00001,0.00000,0.00001,0.00000,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001,0.00001,0.00000,0.00001,
15                    12,0.00000,0.00001,0.00000,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00002,0.00000,0.00001,0.00001,0.00000,0.00001,
15                    13,0.00000,0.00007,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00001,0.00000,0.00001,
15                    14,0.00000,0.00008,0.00004,0.00003,0.00004,0.00002,0.00006,0.00002,0.00001,0.00001,0.00002,0.00001,0.00002,0.00002,0.00006,0.00002,0.00001,
