**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 4

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
K,  0.79841,  0.52643,  1.21759,  1.33906,  1.66472,  5.87939,  1.60661,  1.07301,  0.66787,  1.34394
Ca,  0.01994,  0.01994,  0.12485,  0.48831,  0.76284,  6.22724,  0.74984,  1.32416,  1.76592, 66.41545
Ti,  1.91245,  1.87799,  2.27529,  2.49580,  2.67233,  5.96978,  2.66206,  0.85741,  0.32208,  0.44833
V, 56.80852,  4.46307, 58.38251, 61.03645, 68.07454, 71.46715, 58.91692, 14.92778,  0.25337,  0.26277
Mn, 11.82913,  5.82777, 12.52492, 13.02004, 14.11156, 15.40098, 12.92630,  2.03415,  0.15737,  0.17196
Fe,  0.08116,  0.00000,  0.15198,  0.52080,  0.72347,  5.67729,  0.72868,  1.20157,  1.64896, 14.80559
Zn, 26.84427,  5.37235, 27.93703, 28.83025, 32.67523, 34.50671, 28.69791,  6.07487,  0.21168,  0.22630
Br, 72.42231,  9.85444, 74.16358, 77.29667, 87.06325, 91.25272, 75.85311, 17.17215,  0.22639,  0.23711
Pb, 74.77561,  9.51283, 76.59225, 80.08220, 89.70534, 93.94387, 78.44989, 17.82892,  0.22727,  0.23843

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 18.04052,  4.78407,  8.03147, 15.90370, 22.75835, 29.44658, 15.74246,  8.15868,  0.51826,  0.45224
Na,  0.00000,  0.00000,  2.14132,  5.47677,  8.10022,100.00000, 23.11627, 39.52787,  1.70996,479220356581.50900
Mg, 23.31145,  8.36460, 12.37288, 21.93392, 25.15310, 32.06028, 19.50520,  7.09248,  0.36362,  0.30425
Al, 31.66961, 14.91922, 19.31923, 26.24033, 33.28367, 43.13921, 26.45101,  8.71021,  0.32930,  0.27503
Si, 27.46218, 11.66361, 15.74163, 24.92969, 31.54601, 40.14878, 23.91904,  8.88934,  0.37164,  0.32369
P, 25.65350,  0.00000,  0.40116, 16.80257, 18.73169, 25.65350, 13.13779,  9.02196,  0.68672,  0.35169
S, 68.17181, 16.55440, 33.83804, 58.05105, 64.28985, 70.73704, 51.63482, 18.11764,  0.35088,  0.26576
Cl, 89.10689, 48.52839, 75.30121, 82.17440, 85.52406, 90.59682, 79.29572,  9.60313,  0.12111,  0.10777
K, 30.22223,  3.62734, 16.35549, 20.56281, 32.09116, 41.33869, 23.09665, 10.49810,  0.45453,  0.34736
Ca, 23.83991,  8.88826, 12.86095, 22.02938, 29.15855, 36.50171, 20.90695,  8.84472,  0.42305,  0.37100
Ti, 20.06971,  5.17088,  8.08949, 16.88808, 25.38995, 32.81781, 16.59758,  8.99754,  0.54210,  0.44831
V, 10.11431,  0.00000,  0.34489,  3.89357,  8.41926, 12.73374,  4.67337,  4.23532,  0.90627,  0.41875
Mn, 13.95907,  0.00000,  3.78122, 11.35827, 18.70566, 25.51703, 11.53318,  8.21743,  0.71250,  0.58868
Fe, 19.89251,  2.81860,  7.05746, 15.79712, 25.36247, 32.75267, 16.05057,  9.37345,  0.58399,  0.47120
