ACC779,23.5,
ACC780,18.9,
ACC781,12,
ACC782,47.7,
ACC783,17.8,
ACC784,33.9,
ACC785,28.6,
ACC786,99.7,
ACC787,100.2,
ACC788,54.7,
ACC789,53.9,
ACC790,59.5,
ACC791,16,
ACC792,18,
ACC793,29.6,
ACC794,34.5,
ACC795,24.1,
ACC796,25.6,
ACC797,12.3,
ACC798,22.3,
ACC799,28.5,
ACC800,41.8,
ACC801,22.7,
ACC802,9.7,
ACC803,24.1,
ACC804,20.9,
ACC805,38.8,
ACC806,21,
ACC807,15,
ACC808,96.7,
ACC809,32.8,
ACC810,16.9,
ACC811,35.7,
ACC812,28.8,
ACC813,9.2,
ACC814,9.3,
ACC815,9.8,
ACC816,6.2,
ACC817,11.6,
ACC818,17.8,
ACC819,30.7,
ACC820,40.8,
ACC821,11.8,
ACC822,35.5,
ACC823,21.8,
ACC824,26.2,
ACC825,93.8,
ACC826,17.3,
ACC827,26.1,
ACC828,20,
ACC829,25.5,
ACC830,47,
ACC831,21.6,
ACC832,10.7,
ACC833,16.4,
ACC834,31.9,
ACC835,42.2,
ACC836,15.7,
ACC837,8.9,
ACC838,19.2,
ACC839,40.2,
ACC840,97.7,
ACC841,27.4,
ACC842,24.1,
ACC843,37,
ACC844,17.6,
ACC845,10.9,
ACC846,97,
ACC847,96.2,furado
ACC848,17.3,
ACC849,34.2,
ACC850,22.8,
ACC851,31.9,
ACC852,33.3,furado
ACC853,11.7,furado
ACC854,32.1,
ACC855,76,
ACC856,25.8,
ACC857,97.2,
ACC858,37.1,
ACC859,10.3,
ACC860,12.8,
ACC861,13.5,
ACC862,15.5,
ACC863,19.2,
ACC864,29.3,
ACC865,7.4,
ACC866,24.4,
ACC867,33,
ACC868,20.1,
ACC869,23.1,
ACC870,21.6,
ACC871,13.7,
ACC872,8.3,
ACC873,10.5,
ACC874,14.5,
ACC875,11,
ACC876,20,
ACC877,36,
ACC878,98.6,
ACC879,41.4,
ACC880,11.4,
ACC881,25,
ACC882,15.3,
ACC883,35.3,
ACC884,17.3,
ACC885,31.4,
ACC886,25.7,
ACC887,34,
ACC888,8.7,
ACC889,32,
ACC890,34,
ACC891,11.8,
ACC892,18.2,
ACC893,11.3,
ACC894,97.3,
ACC895,32.1,
ACC896,10.7,
ACC897,27.8,
ACC898,32.6,
ACC899,17.9,
ACC900,14,
ACC901,21.9,
ACC902,15.7,
ACC903,12.3,
ACC904,18.6,
ACC905,23.5,
ACC906,13.7,
ACC907,10.7,
ACC908,20,
ACC909,6,
ACC910,15.3,
ACC911,96.4,
ACC912,7.5,
ACC913,16.9,
ACC914,10.9,
ACC915,24.8,
ACC916,14.7,
ACC917,7.8,
ACC918,99.6,
ACC919,17.9,
ACC920,99.5,
ACC921,18.9,
ACC922,5.1,
ACC923,14.4,
ACC924,8.7,
ACC925,12.7,
ACC926,21.4,
ACC927,19.5,
ACC928,15,
ACC929,17.8,
ACC930,11.7,
ACC931,14.1,
ACC932,11.1,
ACC933,11.1,
ACC934,7.4,
ACC935,4.9,
ACC936,9.4,
ACC937,5,
ACC938,21.7,
ACC939,17.4,
ACC940,14,
ACC941,7.3,caiu no chão
ACC942,10.2,
ACC943,10.4,
ACC944,97,
ACC945,6.6,
ACC946,13,
ACC947,12.7,
ACC948,8.8,
ACC949,6.5,
ACC950,17.8,
ACC951,18,
ACC952,13.7,
ACC953,7.5,dedo
ACC954,10,
ACC955,17.2,
ACC956,8.2,
ACC957,7,
ACC958,5.3,
ACC959,11.9,
ACC960,96.8,
ACC961,9.9,
ACC962,16,
ACC963,10.8,
ACC964,98.1,
ACC965,13.1,
ACC966,11.6,
ACC967,11.2,
ACC968,8.1,
ACC969,13.1,
ACC970,8.4,
ACC971,6.3,
ACC972,9.9,
ACC973,9.5,
ACC974,17.8,
ACC975,8.2,
ACC976,16.7,
ACC977,8.6,
ACC978,6.9,
ACC979,12,
ACC980,11.2,
ACC981,11,
ACC982,9,
ACC983,15.5,
ACC984,14.8,
ACC985,9.6,
ACC986,10.8,
ACC987,11.2,
ACC988,11.2,
ACC989,13.1,
ACC990,14.2,
ACC991,19.1,
ACC992,16,
ACC993,20.8,
ACC994,8.8,
ACC995,5,
ACC996,98.9,
ACC997,6.8,
ACC998,68.5,
ACC999,18,
ACC1001,55.6,
ACC1002,68.4,
ACC1003,84.4,
ACC1004,86.4,
ACC1005,86.3,
ACC1006,86.2,
ACC1007,86.3,
ACC1008,14.5,dedo
ACC1009,14.7,
ACC1010,8.1,
ACC1011,5.6,
ACC1012,14.4,
ACC1013,8.9,
ACC1014,6.6,
ACC1015,10.7,
ACC1016,12.3,
ACC1017,17.2,
