AFR-525,12.5,não estava na lista,
AFR-526,12.4,não estava na lista,
AFR-527,17.5,não estava na lista,
AFR-528,20.8,não estava na lista,
AFR-529,26.8,não estava na lista,
AFR-530,19.4,não estava na lista,
AFR-531,22.3,não estava na lista,
AFR-532,10.9,não estava na lista,
AFR-533,100.9,não estava na lista,
AFR-534,37.3,não estava na lista,
AFR-535,101.3,não estava na lista,
AFR-536,11.4,não estava na lista,
AFR-537,19.5,não estava na lista,
AFR-538,37.2,não estava na lista,
AFR-539,29.1,não estava na lista,
AFR-540,26.7,não estava na lista,
AFR-541,24.1,não estava na lista,
AFR-542,28.3,não estava na lista,
AFR-543,17.6,não estava na lista,
AFR-544,16.6,não estava na lista,
AFR-545,14.3,não estava na lista,
AFR-546,40.8,não estava na lista,
AFR-547,15.5,não estava na lista,
AFR-548,21,não estava na lista,
AFR-549,19.2,não estava na lista,
AFR-550,33.9,não estava na lista,
AFR-551,20.3,não estava na lista,
AFR-552,99.3,não estava na lista,
AFR-553,14,não estava na lista,
AFR-554,24.6,não estava na lista,
AFR-555,28.4,não estava na lista,
AFR-556,20.9,não estava na lista,
AFR-557,22.7,não estava na lista,
AFR-558,100.3,não estava na lista,
AFR-559,9.2,não estava na lista,totalmente rasgado
AFR-560,,não estava na lista,totalmente rasgado
AFR-561,29,não estava na lista,
AFR-562,30.2,não estava na lista,
AFR-563,26.8,não estava na lista,
AFR-564,31,não estava na lista,
AFR-565,10.4,não estava na lista,furado
AFR-566,40.3,não estava na lista,
AFR-567,25,não estava na lista,
AFR-568,27.2,não estava na lista,
AFR-569,11.6,não estava na lista,
AFR-570,17.1,não estava na lista,
AFR-571,16.6,não estava na lista,
AFR-572,23.9,não estava na lista,
AFR-573,17,não estava na lista,
AFR-574,95.7,não estava na lista,todo furado
AFR-575,90.8,,
AFR-576,96.8,,todo furado
AFR-577,90.7,,
AFR-578,85.4,,
AFR-579,89.6,,
AFR-580,95.5,,
AFR-581,93.3,,
AFR-582,90.8,,
AFR-583,90.8,,
AFR-584,64.6,,
AFR-585,84.1,,
AFR-586,81.9,,
AFR-587,94.7,,
AFR-588,92.1,,
AFR-589,88.4,,
AFR-590,88,,
AFR-591,91.7,,
AFR-592,82.3,,
AFR-593,91.1,,
AFR-594,89.2,,
AFR-595,95.5,,
AFR-596,88.3,,
AFR-597,95.5,,
AFR-598,84.6,,
AFR-599,96,,
AFR-600,89.9,,
AFR-601,97.9,,
AFR-602,84.9,,
AFR-603,87.8,,
AFR-604,81.4,,
AFR-605,85.9,,
AFR-606,84.4,está escrito jt,
AFR-607,88.7,está escrito nima,
AFR-608,89.9,,
AFR-609,12.3,não estava na lista,
AFR-610,31,não estava na lista,
AFR-611,21.6,não estava na lista,
AFR-612,41.7,não estava na lista,
AFR-613,17.4,não estava na lista,
AFR-614,32.8,não estava na lista,
AFR-615,20.5,não estava na lista,
AFR-616,31.6,não estava na lista,
AFR-617,9.7,não estava na lista,
AFR-618,103.6,não estava na lista,
AFR-619,17.4,não estava na lista,
AFR-620,100.8,não estava na lista,
AFR-621,27.6,não estava na lista,
AFR-622,22.4,não estava na lista,
AFR-623,24.1,não estava na lista,
AFR-624,12.8,não estava na lista,
AFR-625,25.8,não estava na lista,
AFR-626,22.9,não estava na lista,
AFR-627,19.1,não estava na lista,
AFR-628,8.4,não estava na lista,
AFR-629,11.5,não estava na lista,
AFR-630,17.3,não estava na lista,
AFR-631,26.6,não estava na lista,
AFR-632,37.3,não estava na lista,
AFR-633,28,não estava na lista,
AFR-634,18.2,não estava na lista,
AFR-635,43,não estava na lista,
AFR-636,12.9,não estava na lista,
AFR-637,98.2,não estava na lista,
AFR-638,27.1,não estava na lista,
AFR-639,16.1,não estava na lista,
AFR-640,9.8,não estava na lista,
AFR-641,37.8,não estava na lista,
AFR-642,20,não estava na lista,
AFR-643,17.5,não estava na lista,
AFR-644,97.5,não estava na lista,
AFR-645,9,não estava na lista,
AFR-646,16.8,não estava na lista,
AFR-647,30.7,não estava na lista,
AFR-648,12.8,não estava na lista,
AFR-649,12.6,não estava na lista,
AFR-650,17.6,não estava na lista,
AFR-651,11.3,não estava na lista,
AFR-652,8.1,não estava na lista,
AFR-653,10.6,não estava na lista,
