**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
S, 26.27112, 17.06935, 19.05660, 26.24615, 30.42536, 32.88850, 25.26563,  5.43321,  0.21504,  0.20681
Cl,  0.41301,  0.35820,  0.38464,  0.41404,  0.55399,  2.37483,  0.64433,  0.59692,  0.92643,  1.44528
K, 39.50593, 35.57587, 36.66794, 39.50287, 42.44334, 46.13884, 39.69886,  3.23539,  0.08150,  0.08190
Ca, 17.87740, 15.91232, 17.88111, 18.14322, 18.42785, 20.27352, 18.14975,  1.04639,  0.05765,  0.05853
Ti, 18.50647, 16.30261, 18.48755, 18.52767, 20.82762, 21.03952, 19.10804,  1.47439,  0.07716,  0.07967
V, 36.22982, 32.66488, 36.23591, 36.66371, 37.69654, 41.29996, 36.87986,  2.11090,  0.05724,  0.05826
Mn, 39.09521, 35.03924, 39.10817, 39.68179, 41.96182, 43.78677, 40.13293,  2.35366,  0.05865,  0.06020
Fe, 23.97766, 21.23968, 23.95540, 24.00401, 26.55449, 26.61135, 24.68639,  1.67988,  0.06805,  0.07006
Zn, 44.89197, 40.59464, 43.60155, 44.89271, 47.53583, 51.84255, 45.44074,  3.01903,  0.06644,  0.06725
Br, 12.06678,  0.06504,  3.20420, 12.02671, 16.36834, 17.47949, 10.40935,  6.39094,  0.61396,  0.52963
Pb, 45.17090, 40.95840, 44.55661, 45.17530, 47.58647, 51.95949, 45.84466,  2.84344,  0.06202,  0.06295
BC, 56.04899, 50.62425, 56.06213, 57.28229, 58.27911, 63.81916, 57.18798,  3.22669,  0.05642,  0.05757

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 18.33968, 10.76220, 12.05790, 18.34317, 22.09049, 23.48842, 17.51820,  4.58184,  0.26155,  0.24983
Na, 32.71491, 28.05062, 29.56778, 32.71891, 37.56405, 39.39337, 33.21264,  3.96034,  0.11924,  0.12106
Mg,  5.91457,  4.63299,  4.98933,  5.91473,  9.48274, 10.51533,  6.81623,  2.18809,  0.32101,  0.36995
Al,  0.79213,  0.79147,  0.79288,  0.81388,  1.04719,  1.13772,  0.88889,  0.13656,  0.15363,  0.17240
Si,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
P, 46.43442, 40.86563, 43.00217, 46.44623, 53.07987, 55.59487, 47.38413,  5.14376,  0.10855,  0.11077
S, 50.29644, 44.06536, 46.39405, 50.30598, 57.45532, 60.18488, 51.25250,  5.61740,  0.10960,  0.11169
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K, 29.23094, 21.14511, 22.87509, 29.23677, 34.35493, 36.28140, 28.80267,  5.34000,  0.18540,  0.18268
Ca,  9.02692,  8.23883,  8.63566,  9.02764, 10.23852, 10.69276,  9.27077,  0.86575,  0.09339,  0.09591
Ti,  0.41067,  0.41055,  0.41100,  0.44088,  0.47365,  0.50812,  0.44269,  0.03481,  0.07863,  0.08476
V, 14.12087,  7.98245,  9.00713, 14.12324, 17.07891, 18.17932, 13.42335,  3.68125,  0.27424,  0.26070
Mn,  5.76856,  0.00000,  0.69393,  5.76959,  7.66650,  8.36316,  4.76097,  3.15055,  0.66174,  0.54616
Fe,  1.93769,  0.52935,  0.71910,  1.93777,  2.45586,  2.64635,  1.71447,  0.78588,  0.45838,  0.40558
Zn, 24.34091, 15.00541, 16.66413, 24.34661, 29.16930, 30.97639, 23.41213,  5.72545,  0.24455,  0.23522
Br, 56.70281, 53.14024, 55.49630, 56.71322, 63.97495, 66.76956, 58.53175,  4.89624,  0.08365,  0.08635
Pb, 21.53347, 12.14409, 13.71040, 21.53846, 26.03117, 27.71431, 20.45871,  5.61994,  0.27470,  0.26099
BC, 17.61691,  6.11615,  7.71173, 17.62130, 22.11716, 23.78992, 15.89375,  6.52200,  0.41035,  0.37021

Percent of Total Variable

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  2.98460,  2.65060,  2.76362,  2.94023,  2.98448,  3.07345,  2.90291,  0.13137,  0.04525,  0.04402
Mg,  0.18745,  0.13634,  0.15195,  0.18744,  0.19160,  0.20379,  0.17770,  0.02222,  0.12503,  0.11853
Al,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Si,  0.22134,  0.21734,  0.21830,  0.22127,  0.23045,  0.23266,  0.22325,  0.00568,  0.02544,  0.02566
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S,  1.60322,  1.40788,  1.46754,  1.59829,  1.60445,  1.64927,  1.55952,  0.08002,  0.05131,  0.04991
Cl,  7.35488,  6.51762,  6.80760,  7.21507,  7.35390,  7.59079,  7.14504,  0.32742,  0.04582,  0.04452
K,  2.68338,  2.63778,  2.65099,  2.68397,  2.68550,  2.69312,  2.67385,  0.01925,  0.00720,  0.00717
Ca,  0.65622,  0.57927,  0.60506,  0.64587,  0.65620,  0.67719,  0.63741,  0.03039,  0.04768,  0.04631
Ti,  0.02011,  0.01873,  0.01925,  0.01974,  0.02011,  0.02057,  0.01975,  0.00054,  0.02727,  0.02677
V,  0.00540,  0.00531,  0.00534,  0.00538,  0.00540,  0.00542,  0.00538,  0.00003,  0.00609,  0.00606
Mn,  0.01543,  0.01500,  0.01543,  0.01562,  0.01653,  0.01708,  0.01583,  0.00065,  0.04120,  0.04225
Fe,  0.23491,  0.22942,  0.23487,  0.23703,  0.24968,  0.25684,  0.24014,  0.00871,  0.03626,  0.03707
Zn,  0.11648,  0.11537,  0.11573,  0.11637,  0.11648,  0.11676,  0.11621,  0.00044,  0.00380,  0.00379
Br,  0.08384,  0.06913,  0.07379,  0.08277,  0.08388,  0.08750,  0.08041,  0.00592,  0.07361,  0.07059
Pb,  0.07285,  0.07156,  0.07200,  0.07263,  0.07284,  0.07320,  0.07252,  0.00050,  0.00694,  0.00691
BC, 12.32196, 12.14306, 12.32201, 12.40433, 12.77096, 12.99505, 12.48500,  0.26657,  0.02135,  0.02163

Factor 2,,Statistics Over All Runs
