**** Analysis Summary ****

Time of run: ,04/10/16 02:07
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TGsH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TGsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
14                    8,0.00000,0.00003,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00003,0.00001,0.00001,0.00000,0.00002,0.00002,0.00001,0.00001,
14                    9,0.00000,0.00003,0.00002,0.00001,0.00001,0.00003,0.00002,0.00001,0.00005,0.00003,0.00001,0.00000,0.00000,0.00002,0.00005,0.00003,0.00001,
14                    10,0.00000,0.00002,0.00002,0.00001,0.00001,0.00002,0.00002,0.00001,0.00002,0.00004,0.00001,0.00000,0.00000,0.00001,0.00002,0.00004,0.00001,
14                    11,0.00000,0.00002,0.00002,0.00001,0.00001,0.00002,0.00002,0.00002,0.00003,0.00002,0.00001,0.00000,0.00001,0.00001,0.00003,0.00003,0.00001,
14                    12,0.00000,0.00003,0.00001,0.00000,0.00000,0.00002,0.00001,0.00001,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00002,0.00001,0.00000,
14                    13,0.00000,0.00000,0.00002,0.00000,0.00001,0.00002,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,0.00000,0.00001,0.00002,0.00002,0.00001,
15                    1,0.00000,0.00002,0.00004,0.00001,0.00001,0.00010,0.00015,0.00004,0.00025,0.00006,0.00003,0.00001,0.00001,0.00003,0.00008,0.00018,0.00001,
15                    2,0.00000,0.00002,0.00002,0.00002,0.00001,0.00025,0.00015,0.00003,0.00023,0.00012,0.00003,0.00001,0.00002,0.00003,0.00011,0.00026,0.00002,
15                    3,0.00000,0.00003,0.00001,0.00001,0.00001,0.00006,0.00003,0.00005,0.00003,0.00005,0.00002,0.00001,0.00001,0.00002,0.00006,0.00008,0.00001,
15                    4,0.00000,0.00003,0.00002,0.00002,0.00003,0.00007,0.00003,0.00003,0.00003,0.00012,0.00003,0.00001,0.00002,0.00004,0.00012,0.00016,0.00001,
15                    5,0.00000,0.00002,0.00002,0.00001,0.00001,0.00014,0.00013,0.00003,0.00019,0.00008,0.00003,0.00001,0.00002,0.00003,0.00008,0.00023,0.00002,
