**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 12

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Mg, 20.02866, 16.42647, 18.65453, 19.51031, 19.94492, 20.28136, 19.17624,  1.04436,  0.05446,  0.05214
Al,  0.16307,  0.00000,  0.00014,  0.43820,  3.02599,  5.99580,  1.54511,  2.03233,  1.31533, 12.46319
Si,  1.27322,  0.70217,  0.84666,  1.34254,  4.05768,  7.04304,  2.46287,  2.08724,  0.84748,  1.63934
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  2.44765,  0.00000
S, 16.80761, 10.79359, 13.62256, 15.71148, 16.79432, 18.18445, 15.23077,  1.90921,  0.12535,  0.11359
Cl, 79.18014, 74.87932, 75.79044, 76.26431, 76.90915, 79.85409, 76.63148,  1.25889,  0.01643,  0.01590
K,  9.96192,  2.52586,  7.82305,  9.30568, 10.24991, 12.54742,  8.81430,  2.49847,  0.28346,  0.25080
Ca,  8.62494,  6.02903,  8.15498, 10.17244, 15.74568, 18.81115, 11.62972,  4.27577,  0.36766,  0.49575
Ti,  1.72253,  0.76417,  1.51594,  2.56393,  5.51813,  9.17676,  3.63607,  2.74613,  0.75525,  1.59424
V,  8.26965,  6.98944,  8.27454,  9.45657, 11.39828, 13.77025,  9.83839,  1.92175,  0.19533,  0.23239
Mn,  3.53870,  0.42893,  2.26851,  3.67463,  4.78906,  7.50126,  3.84570,  1.91088,  0.49689,  0.53999
Fe,  1.46414,  0.32007,  0.89338,  2.47513,  5.86704,  9.27814,  3.40134,  2.89295,  0.85053,  1.97587
Zn,  7.73940,  5.78801,  7.77491,  9.29670, 10.65372, 13.40386,  9.29385,  1.90213,  0.20466,  0.24577
Br,  0.02233,  0.00000,  0.02035,  9.24235, 12.96035, 18.30539,  7.08093,  6.78722,  0.95852,303.95915
Pb, 11.05565,  7.98293, 10.51703, 12.48231, 13.87473, 16.59722, 12.05510,  2.23444,  0.18535,  0.20211
BC,  6.67576,  0.05810,  4.55614,  7.30822,  8.95187, 13.12613,  6.69415,  3.18367,  0.47559,  0.47690

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 28.03500, 13.77105, 20.01091, 22.38339, 24.33101, 28.40473, 22.32464,  3.48671,  0.15618,  0.12437
Na, 39.68207, 36.58778, 42.61110, 43.74717, 44.60915, 46.09432, 43.23358,  2.19210,  0.05070,  0.05524
Mg, 17.43255, 11.48768, 15.90879, 17.96126, 18.51252, 18.92649, 16.83515,  2.47908,  0.14726,  0.14221
Al,  8.57012,  0.00000,  1.15758,  2.70857,  4.57322,  8.57012,  2.98583,  2.26914,  0.75997,  0.26477
Si,  8.65920,  0.00000,  1.04026,  2.49528,  4.43171,  8.65920,  2.95535,  2.31893,  0.78466,  0.26780
P, 63.48139, 57.32098, 58.68715, 60.80365, 62.04693, 63.48139, 60.41750,  2.02207,  0.03347,  0.03185
S, 56.14179, 50.70348, 53.58061, 54.19066, 56.26734, 58.72405, 54.81906,  2.10547,  0.03841,  0.03750
Cl,  0.00006,  0.00000,  0.00000,  2.30027,  4.45710,  6.52880,  2.51855,  2.49327,  0.98996,41332.08583
K, 38.45305, 25.19526, 31.31308, 33.18386, 35.92362, 40.22927, 33.58147,  3.51206,  0.10458,  0.09133
Ca, 12.29211,  0.00000,  0.98058,  3.35218,  8.24027, 12.29211,  4.53217,  3.94892,  0.87131,  0.32126
Ti,  8.24543,  0.00000,  0.00572,  0.88841,  2.15763,  8.24543,  1.73245,  2.34453,  1.35331,  0.28434
V, 21.95658, 12.44239, 14.21207, 15.85102, 17.70074, 21.95658, 15.97042,  2.55084,  0.15972,  0.11618
Mn, 14.99085,  1.74559,  6.45478,  8.42432, 10.89749, 14.99085,  8.54449,  3.13872,  0.36734,  0.20938
Fe, 10.22931,  0.05451,  1.01700,  2.11517,  3.69685, 10.22931,  2.93721,  2.64887,  0.90183,  0.25895
Zn, 23.97333, 11.49330, 15.92701, 18.54025, 20.27472, 23.97333, 17.90156,  3.65434,  0.20414,  0.15243
Br,  6.57678,  0.00000,  1.57459, 19.43379, 27.40068, 29.80463, 15.52309, 11.90283,  0.76678,  1.80983
Pb, 19.61268,  5.70210, 11.20606, 12.96190, 16.49387, 20.22789, 13.77842,  3.87731,  0.28140,  0.19769
BC, 23.93552,  3.13333, 12.05844, 16.84482, 19.22119, 24.01052, 15.85793,  5.11591,  0.32261,  0.21374

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  4.13232,  2.51772,  4.37707,  5.50863,  6.82585, 18.12414,  6.47555,  3.79709,  0.58637,  0.91888
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.02837,  0.00142,  0.00634,  4.47134,  0.00000
Mg,  0.87026,  0.00000,  0.00000,  0.15632,  3.94541, 18.31568,  3.54321,  6.34039,  1.78945,  7.28560
Al, 20.44447, 13.67470, 15.95022, 19.13907, 24.71673, 37.10378, 21.32694,  7.68116,  0.36016,  0.37571
Si, 20.39794, 13.46083, 15.71464, 19.01577, 24.45414, 37.32044, 21.26768,  7.79258,  0.36640,  0.38203
P, 23.39485, 10.95125, 15.48057, 19.92222, 26.35770, 33.38290, 20.86197,  6.80486,  0.32618,  0.29087
S,  2.95437,  0.13462,  1.29688,  3.50346,  4.97987,  8.77607,  3.51405,  2.39781,  0.68235,  0.81162
Cl,  4.17467,  0.37790,  2.15002,  4.12028,  6.51380,  9.51924,  4.46161,  2.76576,  0.61990,  0.66251
K,  0.00351,  0.00000,  0.00008,  0.46930,  3.24559, 14.27355,  2.48973,  4.06697,  1.63350,1158.15458
Ca, 55.85893, 35.52779, 40.49537, 52.07274, 58.78175, 68.17275, 50.21016, 10.38579,  0.20685,  0.18593
Ti, 31.40107, 20.94852, 24.07223, 29.37742, 34.64044, 47.37994, 30.40642,  8.54220,  0.28093,  0.27204
V, 30.46429, 20.76776, 23.84302, 29.46249, 32.79130, 36.82117, 28.57940,  5.22871,  0.18295,  0.17163
Mn, 10.39810,  6.59599,  9.75633, 11.26820, 16.34017, 20.92969, 12.64312,  4.17686,  0.33037,  0.40169
Fe, 33.84925, 22.76455, 26.16202, 31.95423, 36.99255, 47.93050, 32.40656,  8.04109,  0.24813,  0.23756
Zn, 21.45511, 15.58429, 18.56668, 20.16283, 23.08530, 33.67213, 21.06986,  4.15720,  0.19731,  0.19376
Br,  0.00000,  0.00000,  0.00000,  0.02783,  4.75961, 12.65165,  2.47447,  4.14413,  1.67475,11592370.65020
Pb, 12.49451,  6.86549,  9.80920, 13.17185, 15.42637, 27.84511, 13.62748,  4.90795,  0.36015,  0.39281
BC,  7.06253,  0.00000,  4.97643,  8.57785, 11.42376, 27.61610,  9.35582,  6.67927,  0.71392,  0.94573

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 32.31409, 29.17082, 32.31580, 34.30091, 37.71426, 40.35443, 34.70059,  3.18173,  0.09169,  0.09846
Na,  0.95060,  0.00000,  0.04513,  0.39235,  1.42586,  3.59600,  0.83803,  1.05318,  1.25673,  1.10791
Mg,  0.00001,  0.00000,  0.00000,  0.00000,  0.00000,  1.40095,  0.07928,  0.31381,  3.95834,31549.59573
Al, 11.09971,  7.85607, 11.01160, 11.68953, 12.09484, 13.65009, 11.49651,  1.34575,  0.11706,  0.12124
Si, 10.68060,  7.54453, 10.57822, 11.45182, 11.78216, 13.46574, 11.23829,  1.35491,  0.12056,  0.12686
P,  0.00000,  0.00000,  0.00000,  0.08772,  1.21504,  2.53804,  0.64466,  0.96427,  1.49578,  0.00000
S, 11.56645, 10.92310, 11.57555, 12.47600, 14.15735, 15.37437, 12.86815,  1.36813,  0.10632,  0.11828
Cl,  4.38865,  0.97071,  3.53576,  4.51560,  6.13135,  9.47967,  4.75871,  2.05283,  0.43138,  0.46776
K, 31.25447, 28.83824, 31.26359, 33.07039, 36.77261, 39.81255, 33.73623,  3.17132,  0.09400,  0.10147
Ca,  7.25737,  0.26261,  4.77095,  7.47041,  9.60136, 12.35754,  7.41840,  3.12067,  0.42067,  0.43000
Ti, 10.17535,  5.68831,  9.41323, 10.46045, 11.52388, 13.61472, 10.55496,  1.84528,  0.17483,  0.18135
V, 18.60039, 15.03836, 18.19165, 19.59317, 20.59771, 23.58620, 19.35399,  1.95343,  0.10093,  0.10502
Mn, 26.06822, 23.17958, 25.74087, 27.98853, 29.94606, 32.34163, 27.82138,  2.44744,  0.08797,  0.09389
Fe, 13.56238,  8.95997, 13.41373, 14.38698, 15.16366, 17.84777, 14.28111,  2.04582,  0.14325,  0.15085
Zn, 33.74035, 28.47021, 32.45271, 35.12933, 37.02830, 40.89203, 34.82478,  2.98495,  0.08571,  0.08847
Br, 11.49822,  0.00000,  0.00000,  2.07294,  6.30087, 12.25885,  3.33687,  3.98735,  1.19494,  0.34678
Pb, 39.48782, 33.43174, 37.89914, 40.96793, 43.97524, 47.86516, 40.99088,  3.64401,  0.08890,  0.09228
BC, 48.96839, 43.27560, 48.40704, 51.67665, 56.47999, 60.50850, 52.07976,  4.75020,  0.09121,  0.09701

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  2.39575,  2.39575,  3.75685,  5.63960,  6.70072,  7.74409,  5.29919,  1.61975,  0.30566,  0.67609
Na,  6.94286,  2.84056,  3.51172,  5.69214,  7.33187,  9.71510,  5.69639,  2.19862,  0.38597,  0.31667
Mg,  0.02251,  0.00000,  0.00056,  0.28040,  1.33735,  2.56941,  0.71250,  0.85347,  1.19785, 37.91182
Al,  1.70175,  1.38610,  2.21654,  3.84482,  5.01125,  5.45286,  3.72486,  1.37699,  0.36968,  0.80916
Si,  0.16022,  0.15106,  0.63406,  2.40989,  3.74259,  4.19311,  2.28561,  1.47544,  0.64553,  9.20864
P,  1.39801,  0.00000,  0.00000,  0.42767,  2.19350,  6.91038,  1.27361,  1.88229,  1.47791,  1.34640
S,  2.86352,  0.28702,  1.76237,  2.98651,  4.33570,  8.19178,  3.28479,  2.15659,  0.65654,  0.75313
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  1.19578,  0.09205,  0.29630,  3.21885,145781.79319
K,  2.57412,  1.82130,  3.35355,  5.50600,  7.11699,  7.92206,  5.13222,  1.98378,  0.38653,  0.77066
Ca,  2.21919,  0.00001,  0.79119,  2.48280,  7.00767,  8.85152,  3.57896,  3.02146,  0.84423,  1.36151
Ti,  1.27915,  0.73121,  1.19276,  3.35746,  5.10739,  6.14461,  3.23828,  1.89000,  0.58364,  1.47755
V,  6.06996,  5.11450,  6.56332,  7.76115,  9.01088,  9.51913,  7.69619,  1.33129,  0.17298,  0.21932
Mn,  1.21837,  1.21837,  3.40476,  4.12409,  5.25936,  6.09841,  4.22392,  1.28271,  0.30368,  1.05281
Fe,  0.92087,  0.44250,  0.97479,  3.16427,  4.99422,  6.12317,  3.13515,  1.98666,  0.63367,  2.15737
Zn, 13.09142, 11.60812, 13.50682, 15.28607, 16.65817, 17.93882, 15.12413,  1.78039,  0.11772,  0.13600
Br, 72.91472, 52.40352, 61.17806, 65.60389, 72.79246, 86.32225, 67.55005,  9.43884,  0.13973,  0.12945
Pb, 13.11187, 12.14375, 14.09127, 15.51248, 17.56316, 18.96822, 15.62560,  2.00592,  0.12837,  0.15299
BC,  6.46909,  6.46909,  8.66398, 11.02930, 12.03344, 14.21383, 10.41155,  2.13410,  0.20497,  0.32989

Factor 6,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 23.00048, 18.21361, 19.89259, 22.28661, 23.07568, 24.83853, 21.71628,  1.97939,  0.09115,  0.08606
Na,  0.00109,  0.00000,  0.00000,  0.00000,  0.00004,  0.28435,  0.01457,  0.06351,  4.35995, 58.12635
Mg, 61.64601, 49.20164, 59.20842, 61.46405, 61.71842, 62.90965, 59.65362,  3.89489,  0.06529,  0.06318
