**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 17

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Fe,  4.37238,  4.04738,  4.24020,  4.52987,  9.96989, 11.98905,  6.27338,  3.30992,  0.52761,  0.75701
Zn,  4.26698,  3.01994,  4.05391,  4.13699,  4.23269,  4.27215,  4.03895,  0.34503,  0.08543,  0.08086
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Pb,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 13.73108, 10.20712, 11.13721, 13.75099, 13.80721, 13.88912, 12.89278,  1.55372,  0.12051,  0.11315
Na,  0.00000,  0.00000,  0.00000,  0.00000,  2.84380,  6.91717,  1.24002,  2.31388,  1.86600,  0.00000
Mg, 16.79299,  0.00000,  4.10375, 16.56816, 16.93136, 17.11808, 12.53165,  7.40892,  0.59122,  0.44119
Al, 11.42010,  3.92550,  6.05230, 11.29756, 11.49365, 11.63797,  9.58474,  3.18167,  0.33195,  0.27860
Si, 12.06114,  4.94940,  6.94000, 11.96486, 12.13832, 12.27282, 10.32255,  3.03593,  0.29411,  0.25171
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S, 47.03205, 22.80106, 29.40680, 47.30663, 47.39070, 47.60145, 41.28460, 10.69418,  0.25904,  0.22738
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  4.32033,  7.93075,  1.64434,  2.96282,  1.80182,  0.00000
K, 49.63175, 22.05991, 30.01139, 49.86071, 49.99097, 50.13811, 43.13013, 11.94879,  0.27704,  0.24075
Ca,  0.00000,  0.00000,  0.00000,  0.00000,  4.39744,  6.36128,  1.51980,  2.70315,  1.77862,  0.00000
Ti,  7.68434,  4.77993,  5.60650,  7.60673,  7.73433,  7.83093,  6.96949,  1.22301,  0.17548,  0.15916
V,  1.70157,  0.00000,  0.33110,  1.54410,  1.72330,  1.83913,  1.20290,  0.72523,  0.60290,  0.42621
Mn, 13.31774,  4.92118,  7.25284, 13.24034, 13.40374, 13.53751, 11.27156,  3.60344,  0.31969,  0.27057
Fe, 11.12464,  6.99277,  8.12853, 11.09044, 11.19135, 11.28783, 10.12405,  1.77811,  0.17563,  0.15984
Zn, 24.93370, 24.81791, 25.05022, 25.44797, 41.18540, 46.68826, 30.57505,  9.41756,  0.30801,  0.37770
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Pb,  9.93687,  9.93687, 10.00784, 10.03793, 11.45367, 12.13626, 10.52324,  0.89840,  0.08537,  0.09041

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 17.03180, 16.80803, 16.93331, 17.03369, 17.14609, 18.00094, 17.10447,  0.29756,  0.01740,  0.01747
Na, 14.42263,  1.85262, 11.27213, 14.38857, 14.40894, 14.42263, 12.59807,  3.72067,  0.29534,  0.25797
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.21163,  0.92828,  0.16893,  0.33613,  1.98972,  0.00000
Al, 13.24099, 12.92466, 13.10959, 13.31596, 15.15364, 19.03870, 14.15283,  1.81299,  0.12810,  0.13692
Si, 13.32358, 13.02950, 13.20082, 13.39194, 14.87014, 18.30068, 14.08438,  1.53733,  0.10915,  0.11538
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Cl, 19.25497, 12.09379, 17.68156, 19.20600, 19.22437, 19.27374, 18.24848,  2.07491,  0.11370,  0.10776
K,  1.63528,  0.00000,  1.58010,  1.61476,  1.72010,  2.65245,  1.46764,  0.67918,  0.46277,  0.41533
Ca, 23.41280, 23.12765, 23.29120, 23.44962, 24.65508, 26.15278, 23.88924,  0.97357,  0.04075,  0.04158
Ti, 16.71802, 16.40558, 16.58390, 16.78103, 18.50159, 21.80782, 17.53237,  1.62572,  0.09273,  0.09724
V, 11.36315, 11.10040, 11.25845, 11.43408, 16.59361, 21.19473, 13.36067,  3.60589,  0.26989,  0.31733
Mn, 11.50897, 11.23954, 11.39789, 11.57367, 14.02504, 17.72411, 12.59113,  2.05496,  0.16321,  0.17855
Fe, 15.20164, 14.93930, 15.08816, 15.25438, 15.76188, 18.13408, 15.56300,  0.85738,  0.05509,  0.05640
Zn, 70.79932, 49.44869, 55.25916, 70.45537, 70.73139, 70.91329, 65.38600,  9.21585,  0.14095,  0.13017
Br,  0.00000,  0.00000,  0.00000,  0.00000, 14.69038, 20.07290,  4.94622,  8.79039,  1.77719,  0.00000
Pb, 19.72990, 19.52418, 19.63202, 19.73926, 23.87834, 26.98815, 21.23368,  2.79008,  0.13140,  0.14141

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  8.44550,  7.04910,  7.47219,  8.41685,  8.43051,  8.53981,  8.09880,  0.59110,  0.07299,  0.06999
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.05078,  0.14163,  0.02604,  0.04833,  1.85586,  0.00000
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  1.47751,  2.08626,  0.50612,  0.89967,  1.77759,  0.00000
Al,  3.53217,  0.00000,  0.86861,  3.53076,  3.54595,  3.61800,  2.65351,  1.57205,  0.59244,  0.44507
Si,  3.15381,  0.39617,  1.09962,  3.14890,  3.15925,  3.24686,  2.46823,  1.21732,  0.49320,  0.38598
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S, 35.93887, 35.36274, 35.50327, 35.72682, 47.19504, 52.15231, 39.61745,  6.97969,  0.17618,  0.19421
Cl,  6.58408,  2.66595,  3.74991,  6.60929,  6.66256,  6.72719,  5.66573,  1.72538,  0.30453,  0.26205
K, 22.44542, 21.83436, 22.02590, 22.23930, 33.84620, 38.80588, 26.16988,  7.05672,  0.26965,  0.31439
Ca,  9.57155,  0.43644,  3.00795,  9.61778,  9.66189,  9.71298,  7.38957,  3.98412,  0.53915,  0.41625
Ti,  5.79979,  0.29694,  1.78401,  5.81615,  5.82776,  5.85865,  4.46159,  2.41841,  0.54205,  0.41698
V, 10.17315,  1.90635,  4.15209, 10.21409, 10.24832, 10.29349,  8.18125,  3.63542,  0.44436,  0.35735
Mn, 10.12043,  7.36019,  8.05750, 10.09911, 10.11065, 10.22497,  9.42508,  1.21305,  0.12870,  0.11986
Fe,  3.33245,  0.90490,  1.53669,  3.33108,  3.33564,  3.40445,  2.73077,  1.06947,  0.39164,  0.32093
Zn,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Br, 99.93460, 79.92710, 85.29327,100.00000,100.00000,100.00000, 95.05015,  8.78825,  0.09246,  0.08794
Pb, 43.02770, 36.29076, 38.25847, 42.97780, 43.06898, 43.20090, 41.40189,  2.88192,  0.06961,  0.06698

Factor 6,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 28.96952, 26.42096, 28.30937, 29.00187, 31.92492, 33.85055, 29.63851,  2.20907,  0.07453,  0.07625
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg, 45.01679, 42.18725, 44.00234, 45.38865, 51.84036, 54.09961, 46.98162,  4.06531,  0.08653,  0.09031
Al, 48.66043, 44.70373, 47.51993, 48.72500, 53.02842, 55.07441, 49.58560,  3.12120,  0.06295,  0.06414
Si, 45.29105, 41.46692, 44.21199, 45.34590, 49.35589, 51.59853, 46.14325,  3.00952,  0.06522,  0.06645
P,  6.16200,  0.00000,  0.00007,  5.24575,  7.30799,  8.55114,  4.04238,  3.43858,  0.85063,  0.55803
S,  0.00000,  0.00000,  0.00000,  0.00000,  6.41607, 11.99752,  2.52249,  4.54757,  1.80281,  0.00000
Cl,  8.54549,  7.70057,  8.21240,  8.38776,  8.55347,  9.04784,  8.36835,  0.32846,  0.03925,  0.03844
K, 19.08574, 17.61555, 18.63995, 19.11623, 27.30833, 33.57020, 22.00281,  5.62594,  0.25569,  0.29477
Ca, 29.29609, 26.26534, 28.06053, 28.89763, 29.64875, 30.99029, 28.85629,  1.23018,  0.04263,  0.04199
Ti, 42.25094, 38.55312, 41.28238, 42.29877, 45.14743, 46.80721, 42.70010,  2.39451,  0.05608,  0.05667
V, 46.51617, 42.55941, 45.42631, 46.57638, 49.08103, 50.16004, 46.80719,  2.25693,  0.04822,  0.04852
Mn, 42.32883, 38.84772, 41.32613, 42.38551, 46.60338, 48.80455, 43.30607,  3.01730,  0.06967,  0.07128
Fe, 37.06776, 33.49076, 35.86682, 37.09741, 39.84839, 42.35776, 37.53615,  2.50796,  0.06681,  0.06766
