**** Analysis Summary ****

Time of run: ,04/10/16 01:52
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGsH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
10                    8,0.00431,0.06625,0.48907,0.07229,0.02632,0.64552,0.40814,0.03236,0.32809,0.55587,0.07252,0.12646,0.03464,0.17154,0.61491,1.90945,0.09795,
10                    9,0.00440,0.06636,0.47695,0.07273,0.02629,0.64164,0.40302,0.03212,0.32369,0.54667,0.07085,0.12629,0.03459,0.16957,0.61174,1.89122,0.09925,
11                    1,0.00443,0.05731,0.33508,0.05341,0.02228,0.49179,0.31049,0.02631,0.27217,0.43308,0.04998,0.10871,0.03054,0.12035,0.60362,1.43016,0.10469,
11                    2,0.00001,0.00004,0.00020,0.00009,0.00005,0.00015,0.00011,0.00003,0.00008,0.00012,0.00002,0.00002,0.00005,0.00004,0.00029,0.00008,0.00002,
11                    3,0.00001,0.00014,0.00166,0.00008,0.00007,0.00034,0.00019,0.00007,0.00013,0.00011,0.00008,0.00002,0.00005,0.00008,0.00063,0.00010,0.00032,
11                    4,0.00000,0.00004,0.00005,0.00002,0.00002,0.00004,0.00004,0.00003,0.00004,0.00006,0.00001,0.00001,0.00002,0.00002,0.00012,0.00004,0.00002,
11                    5,0.00001,0.00013,0.00093,0.00006,0.00006,0.00020,0.00013,0.00008,0.00012,0.00014,0.00005,0.00002,0.00004,0.00003,0.00073,0.00008,0.00028,
11                    6,0.00452,0.06541,0.47159,0.07042,0.02569,0.63107,0.39806,0.03129,0.31936,0.53417,0.06917,0.11817,0.03455,0.16660,0.61445,1.84140,0.09680,
11                    7,0.00001,0.00018,0.00217,0.00012,0.00009,0.00034,0.00024,0.00007,0.00020,0.00017,0.00010,0.00002,0.00008,0.00008,0.00093,0.00016,0.00045,
11                    8,0.00001,0.00004,0.00003,0.00003,0.00002,0.00008,0.00006,0.00004,0.00006,0.00011,0.00002,0.00002,0.00001,0.00003,0.00020,0.00010,0.00003,
11                    9,0.00000,0.00003,0.00017,0.00002,0.00001,0.00010,0.00006,0.00002,0.00003,0.00004,0.00004,0.00002,0.00002,0.00004,0.00008,0.00004,0.00003,
11                    10,0.00442,0.06634,0.49240,0.07309,0.02638,0.65250,0.40726,0.03204,0.32450,0.54854,0.07174,0.12736,0.03452,0.17146,0.61722,1.89768,0.09774,
