**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 7

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
V,  0.00637,  0.00637,  0.00650,  0.00660,  0.00727,  0.00906,  0.00697,  0.00080,  0.11509,  0.12590
Mn,  0.06071,  0.00242,  0.03619,  0.05550,  0.05749,  0.06094,  0.04698,  0.01731,  0.36846,  0.28515
Fe,  3.28377,  1.81258,  2.60143,  3.13106,  3.19840,  3.28573,  2.89632,  0.48388,  0.16707,  0.14736
Zn,  0.02646,  0.02596,  0.03079,  0.03638,  0.06272,  0.12322,  0.04761,  0.02729,  0.57319,  1.03134
Br,  0.06740,  0.06714,  0.08971,  0.11301,  0.26139,  0.50084,  0.18242,  0.14434,  0.79125,  2.14146
Pb,  0.01531,  0.01509,  0.01946,  0.02158,  0.04732,  0.08777,  0.03262,  0.02189,  0.67112,  1.42954

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  0.15685,  0.00000,  0.00000,  0.00000,  0.05480,  0.15884,  0.03371,  0.06218,  1.84435,  0.39639
Mg,  0.00000,  0.00000,  0.00000,  0.14076,  0.29117,  0.33785,  0.14464,  0.14094,  0.97439,  0.00000
Al,  4.29450,  3.68250,  3.86033,  4.04735,  4.09643,  4.30016,  4.00710,  0.18409,  0.04594,  0.04287
Si,  7.62478,  7.41179,  7.61432,  8.40562,  9.39695,  9.70616,  8.45384,  0.89860,  0.10629,  0.11785
P,  0.14356,  0.05823,  0.06465,  0.08578,  0.11941,  0.14389,  0.09463,  0.03039,  0.32114,  0.21169
S,  2.26482,  0.63066,  0.73275,  1.11231,  1.67079,  2.27282,  1.23719,  0.57326,  0.46335,  0.25311
Cl,  0.93085,  0.17183,  0.23189,  0.28120,  0.50245,  0.93871,  0.40513,  0.26197,  0.64664,  0.28143
K,  3.17581,  1.77027,  1.86801,  2.21815,  2.73184,  3.18173,  2.31543,  0.49314,  0.21298,  0.15528
Ca,  1.46638,  1.46624,  1.53005,  1.77733,  1.96993,  2.02730,  1.74401,  0.21022,  0.12054,  0.14336
Ti,  0.28494,  0.28475,  0.29986,  0.32790,  0.34854,  0.35391,  0.32553,  0.02439,  0.07493,  0.08560
V,  0.00710,  0.00631,  0.00635,  0.00649,  0.00676,  0.00710,  0.00657,  0.00028,  0.04230,  0.03917
Mn,  0.03136,  0.03127,  0.03869,  0.04804,  0.05387,  0.05564,  0.04598,  0.00853,  0.18542,  0.27182
Fe,  3.18742,  3.18643,  3.26624,  3.39829,  3.44426,  3.45499,  3.36064,  0.09649,  0.02871,  0.03027
Zn,  0.09509,  0.04412,  0.04768,  0.05936,  0.07896,  0.09531,  0.06458,  0.01792,  0.27750,  0.18847
Br,  0.05926,  0.00000,  0.00000,  0.00673,  0.03920,  0.05952,  0.01847,  0.02233,  1.20867,  0.37684
Pb,  0.04282,  0.01744,  0.01917,  0.02544,  0.03456,  0.04293,  0.02719,  0.00890,  0.32734,  0.20787

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  1.47496,  0.46072,  1.04333,  1.44932,  4.04225,  5.08942,  2.18718,  1.52145,  0.69562,  1.03152
Mg,  1.59689,  0.98451,  1.51009,  1.81247,  2.32565,  2.89201,  1.89275,  0.51633,  0.27279,  0.32333
Al,  9.08527,  5.94222,  7.91607,  9.16529, 16.43842, 19.24301, 11.22104,  4.23924,  0.37779,  0.46661
Si, 20.30449, 14.68829, 18.79818, 21.17712, 28.88603, 34.46346, 23.32790,  5.59180,  0.23970,  0.27540
P,  0.07020,  0.00036,  0.01570,  0.07147,  0.29579,  0.33683,  0.12516,  0.13151,  1.05075,  1.87332
S,  2.29632,  0.76470,  1.38103,  2.23949,  8.17728,  9.11113,  3.84429,  3.18430,  0.82832,  1.38670
Cl,  5.60220,  2.02725,  4.19785,  5.69317, 14.72828, 18.04984,  8.15444,  5.26565,  0.64574,  0.93992
K,  2.10382,  1.31354,  1.53446,  2.12147,  5.45294,  5.58603,  2.96950,  1.76963,  0.59594,  0.84115
Ca,  3.98937,  2.93870,  3.65251,  4.09648,  5.53199,  6.68640,  4.49129,  1.02320,  0.22782,  0.25648
Ti,  0.45229,  0.40448,  0.43817,  0.45350,  0.47736,  0.55308,  0.45994,  0.03478,  0.07562,  0.07689
V,  0.00855,  0.00689,  0.00778,  0.00846,  0.01349,  0.01489,  0.00989,  0.00278,  0.28147,  0.32576
Mn,  0.05414,  0.00000,  0.00000,  0.05389,  0.06381,  0.06800,  0.04070,  0.02838,  0.69738,  0.52424
Fe,  3.57948,  3.19999,  3.46672,  3.54035,  3.58415,  3.65393,  3.51952,  0.10160,  0.02887,  0.02839
Zn,  0.06288,  0.02518,  0.03431,  0.06372,  0.20484,  0.22270,  0.09865,  0.07819,  0.79262,  1.24359
Br,  0.00000,  0.00000,  0.00000,  0.00720,  0.03890,  0.12214,  0.02147,  0.03055,  1.42267,524704410.90019
Pb,  0.02721,  0.01187,  0.01602,  0.02759,  0.09326,  0.09741,  0.04439,  0.03505,  0.78969,  1.28829

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.67841,  0.67770,  0.68188,  0.76527,  0.79104,  0.79558,  0.74544,  0.05059,  0.06787,  0.07458
Al,  4.48153,  4.48062,  4.48565,  4.59078,  4.63478,  4.64640,  4.57146,  0.06969,  0.01524,  0.01555
Si, 11.95309, 11.94859, 11.97601, 12.52386, 12.68840, 12.71601, 12.39121,  0.32995,  0.02663,  0.02760
P,  0.01311,  0.00000,  0.00002,  0.00222,  0.01264,  0.01320,  0.00521,  0.00583,  1.11883,  0.44474
S,  0.11116,  0.00000,  0.00095,  0.01500,  0.10585,  0.11219,  0.04272,  0.04906,  1.14843,  0.44137
Cl,  0.39426,  0.39399,  0.39543,  0.42975,  0.45172,  0.45953,  0.42724,  0.02698,  0.06314,  0.06842
K,  1.26827,  1.15828,  1.15930,  1.17115,  1.26310,  1.26926,  1.20039,  0.04867,  0.04054,  0.03837
Ca,  2.42882,  2.42794,  2.43295,  2.52504,  2.54296,  2.54354,  2.49805,  0.05099,  0.02041,  0.02099
Ti,  0.38060,  0.38053,  0.38087,  0.38501,  0.38586,  0.38631,  0.38390,  0.00237,  0.00618,  0.00624
V,  0.00615,  0.00611,  0.00612,  0.00613,  0.00615,  0.00615,  0.00613,  0.00001,  0.00216,  0.00215
Mn,  0.06524,  0.06521,  0.06534,  0.06730,  0.06746,  0.06751,  0.06663,  0.00100,  0.01505,  0.01537
Fe,  3.49882,  3.48920,  3.49457,  3.49861,  3.49928,  3.50820,  3.49735,  0.00528,  0.00151,  0.00151
