**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 9

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ca, 28.32981,  6.78654, 12.83743, 19.14529, 34.47789, 52.84147, 23.81045, 13.77818,  0.57866,  0.48635
Ti, 19.09229, 11.46155, 16.81600, 23.41235, 27.58404, 35.59473, 22.94538,  6.52161,  0.28422,  0.34158
V,  9.86284,  3.42072,  9.99798, 30.02146, 40.10774, 47.68609, 25.82537, 15.09788,  0.58461,  1.53078
Mn, 17.66927, 14.15836, 19.69814, 23.90370, 27.17780, 31.70006, 23.60303,  4.84704,  0.20536,  0.27432
Fe, 25.25261, 20.93554, 25.64223, 35.47932, 43.30289, 46.02862, 34.63498,  8.62091,  0.24891,  0.34139
Zn, 54.24067, 25.15786, 34.30237, 47.89306, 57.76095, 67.11534, 46.71074, 13.52232,  0.28949,  0.24930
Br,  3.01905,  0.00000,  0.00000,  0.00002,  2.27949, 28.48471,  2.86009,  7.10235,  2.48326,  2.35251
Pb, 30.61889,  5.67546, 13.09671, 22.32128, 37.15167, 46.42486, 24.93530, 12.69350,  0.50906,  0.41456

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  3.41572,  3.41572,  4.11868,  6.88686,  8.74802, 12.72765,  6.87657,  2.57910,  0.37506,  0.75507
Na,  9.36229,  0.00000,  1.41110,  9.60330, 13.05910, 21.40448,  8.55244,  6.86758,  0.80300,  0.73354
Mg, 14.67605,  9.17205, 10.93515, 14.54852, 17.20103, 21.10142, 14.24808,  3.55409,  0.24944,  0.24217
Al,  5.85811,  1.20387,  6.61595,  8.98600, 12.34820, 13.22110,  9.17154,  3.25057,  0.35442,  0.55488
Si,  4.77553,  2.07905,  6.23169,  7.73722, 10.06082, 11.94655,  7.85923,  2.56982,  0.32698,  0.53812
P,  7.47515,  0.00000,  8.33179, 16.73424, 21.40999, 27.01154, 14.97802,  7.59012,  0.50675,  1.01538
S, 43.67565, 43.09097, 46.59883, 48.44627, 49.00154, 56.02807, 47.98255,  2.79517,  0.05825,  0.06400
Cl,  3.95892,  0.00000,  2.58639,  4.47985, 10.54091, 18.85271,  6.18361,  5.54483,  0.89670,  1.40059
K, 35.74363, 33.37119, 37.26783, 39.84997, 42.98327, 44.54554, 39.78379,  3.36863,  0.08467,  0.09424
Ca,  0.00004,  0.00000,  0.16293,  8.35770, 13.41626, 17.84056,  7.71901,  6.48419,  0.84003,158368.05571
Ti,  3.59603,  0.00000,  4.37148,  9.11005, 11.77605, 14.77039,  8.38262,  4.10902,  0.49018,  1.14265
V,  6.06748,  0.00000,  1.91885,  5.08333,  8.16022,  9.95118,  4.86115,  3.44930,  0.70957,  0.56849
Mn,  6.43120,  3.29520,  7.66025, 10.42091, 13.00198, 14.94190, 10.19026,  3.07223,  0.30149,  0.47771
Fe,  0.00000,  0.00000,  0.00133,  0.76448,  3.69891,  7.37556,  1.78113,  2.24116,  1.25828,  0.00000
Zn,  5.07343,  2.15426,  5.24434, 15.43725, 24.89896, 27.02482, 15.64176,  9.32695,  0.59629,  1.83839
Br, 59.33744, 59.33744, 63.17750, 64.77276, 66.86273, 75.45510, 65.02175,  3.69152,  0.05677,  0.06221
Pb, 26.92776, 26.92776, 29.98714, 35.69791, 43.36369, 47.40337, 36.97514,  7.29444,  0.19728,  0.27089

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 30.54702, 20.34533, 22.78853, 25.64565, 29.07130, 35.82537, 26.21926,  4.07836,  0.15555,  0.13351
Na,  0.00000,  0.00000,  0.00000,  0.00679,  1.64434,  5.66041,  1.12145,  1.93698,  1.72721,81052248.77733
Mg, 35.14770, 30.38471, 34.26364, 36.90937, 39.45105, 47.73107, 37.25188,  4.48698,  0.12045,  0.12766
Al, 46.15492, 32.75192, 35.62770, 39.56380, 45.28455, 52.10979, 40.73285,  5.68890,  0.13966,  0.12326
Si, 39.14452, 29.42027, 31.30035, 35.34745, 39.09429, 46.43481, 35.92310,  5.11326,  0.14234,  0.13063
P, 18.02332,  0.00020, 12.40258, 15.33294, 18.21981, 26.44444, 15.27895,  5.65992,  0.37044,  0.31403
S, 19.53966,  2.77789,  7.28304,  9.86457, 14.88386, 19.53966, 11.02395,  4.56490,  0.41409,  0.23362
Cl, 17.44360,  3.72604,  5.88810,  9.87310, 11.33857, 20.13935,  9.66096,  4.36662,  0.45199,  0.25033
K, 31.17298, 13.08374, 22.65624, 26.75352, 28.66457, 32.66241, 25.83428,  4.81625,  0.18643,  0.15450
Ca, 42.08634, 10.65698, 16.30346, 21.69587, 27.67311, 42.08634, 22.88187,  8.61788,  0.37662,  0.20477
Ti, 47.26487, 26.62714, 31.89034, 36.16685, 41.32080, 49.77368, 36.79096,  6.33354,  0.17215,  0.13400
V, 31.24783, 25.33447, 35.96718, 41.61564, 47.62072, 58.75306, 41.99735,  8.09090,  0.19265,  0.25893
Mn, 42.10675, 28.53620, 31.18452, 34.36617, 40.09792, 46.64827, 35.76006,  5.20540,  0.14556,  0.12362
Fe, 24.43714, 17.48232, 24.74441, 29.98864, 33.95934, 42.33234, 30.03861,  6.26093,  0.20843,  0.25621
Zn, 17.61108,  0.00000,  0.00000,  0.00000,  4.81853, 17.61108,  2.96501,  5.39838,  1.82069,  0.30653
Br, 20.60669,  0.00000,  0.00000,  0.01661, 11.50279, 20.60669,  5.09329,  6.94091,  1.36275,  0.33683
Pb, 36.12573,  4.87827,  7.19750, 11.12187, 18.03197, 36.12573, 13.59191,  7.68164,  0.56516,  0.21264

Percent of Total Variable

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  7.06340,  6.34518,  6.62340,  7.11270,  7.88717,  9.17286,  7.31388,  0.83451,  0.11410,  0.11815
Mg,  0.52116,  0.47759,  0.54652,  0.68564,  0.72347,  0.86285,  0.66319,  0.10967,  0.16536,  0.21043
Al,  1.13145,  0.13866,  0.73380,  1.40006,  1.68248,  2.09162,  1.24411,  0.57927,  0.46561,  0.51197
Si,  4.57762,  3.63346,  4.41122,  5.18613,  5.63056,  6.30931,  5.05521,  0.72545,  0.14350,  0.15848
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00001,  0.03930,  0.00347,  0.01068,  3.07496,  0.00000
S,  0.54768,  0.46278,  0.54840,  0.67682,  0.92051,  1.21780,  0.73582,  0.22805,  0.30993,  0.41639
Cl, 14.97723, 12.95826, 13.92465, 14.18702, 15.41401, 16.52771, 14.52056,  1.03481,  0.07126,  0.06909
K,  0.00000,  0.00000,  0.08075,  0.29142,  0.51549,  0.70983,  0.29154,  0.23158,  0.79431,  0.00000
Ca,  4.05904,  0.98457,  2.01898,  2.88210,  3.95476,  4.49693,  2.87964,  1.04581,  0.36317,  0.25765
